"English Term","Arabic Term","Arabic Definition"
"National Association For The Advancement Of Colored People (NNAACP)","الرابطة الوطنية لتقدم الملونين","هي رابطة أسسها ديبوا عام ١٩١٠ كامتداد لحركة نياجرا Niagara Movement التي أسسها أيضا عام ١٩٠٥ م في الولايات المتحدة مبديا اهتمامه بالوحدة الأفريقية عن طريق الاهتمام بالمشكلة العنصرية في أمريكا، ويدعو برنامج الرابطة إلى حرية الكلام والنقد وإلغاء جميع الفوارق الطائفية على أساس اللون والعنصر فحسب ومنع احتكار أي طبقة أو عنصر، والإيمان بكرامة العمل."
"National Character","الشخصية القومية","مصطلح يشير إلى الأسس الثابتة والملامح النفسية والثقافية التي تجمع بين أفراد الأمة وتميزه م عن غيرهم."
"National Character","الطابع القومي للشخصية","وهو مصطلح يعبر عن سمات وملامح الشخصية التي ترجع إلى عضوية الفرد في قومية معينة، أو هي تلك النمط من الخصائص السلوكية التي تميز أبناء أمة أو قومية معينة عن أبناء الأمم أو القوميات الأخرى."
"National Home","وطن قومي","الوطن القومي هو مصطلح يقصد به ما تبناه صك الانتداب البريطاني على فلسطين بالمساعدة على إنشاء وطن قومي لليهود في فلسطين طبقا ً لوعد بلفور وبالتالي تحوله ذا الوعد إلى سياسة جماعية في ظل عصبة الأمم مما أضفي عليه شرعية دولية."
"National Integration","التكامل القومي","هو مستوى الولاء القومي حيث ينسى الفرد كل الخلافات الفردية ولا يفكر إلا في الوطن والتكتل خلف إرادة واحدة، وهو أهم مستويات الرابطة السياسية."
"National Minorities","الأقليات القومية","هي مجموعات عرقية تختلف عن الأغلبية في المجتمع، ولكنها تنخرط في القوى السياسية المركبة التي تعمل على المستوى القومي."
"National Salvation","الإنقاذ الوطني","مصطلح يشير إلى مجموعة الوسائل التي تتبعها الدولة للمحافظة على الروح الوطنية والكيان الوطني للشعب ووقايته من الأخطار، ويستخدم رجال السياسة هذا الم صطلح عند الأزمات وعندما تتعرض الدولة للخطر، فيبادر الزعيم بإنقاذها، ومباديء الإنقاذ الوطني فيها خلاص للدولة واستقرار وسلام لها."
"National Security Council (NSC )","مجلس الأمن الوطنى","هو مجلس للحماية الوطنية، أي المعلومات والأنظمة الخاصة بتأمين الوطن ضد أي ته ديد خارجي أو داخلي، وموجود في كل الدول تحت مسميات عديدة، لأنه يمثل جهاز الاستخبارات الوطني، ويسمى في بعض الدول مجلس الدفاع الوطني."
"National Spirit","الروح القومية","هي الروح والانتماء التي تربط أبناء جنس أو عشيرة أو أمة واحدة تجمعها رابطة الدم ووحدة اللغة والدين المشترك والتقاليد المشتركة."
"National-Building","بناء الأمة","بناء الأمة في الدول الجديدة أساسه خلق إحساس عام بالهوية القومية، وشعور غالبية الأفراد بالانتماء للأمة وللنظام السياسي القومي. وهناك بناء الدولة State- Building و هي عملية إقامة المؤسسات والهياكل السياسية للدولة وأدائها لوظائفها بفاعلية، وأساسن جاح عملية بناء الدولة يكمن في توسيع نطاق مزاولة الحقوق وأداء الواجبات العامة وطرح النظرة المحلية الضيقة جانبا ً."
"Nationalism","قومية","يشير مصطلح القومية) الذي انتشر خلال العقدين الماضيين (إلى انتماء جماعة بشرية واحدة لوطن واحد شريطة أن يجمعها تاريخ مشترك ولغة واحدة وثقافة مشتركة في أرض الوطن والشعور بالمصير والأهداف والمسؤوليات المشتركة لجميع المواطنين، والقومية عبارة عن شعب Ethnos وشعور متبادل بين الأفراد يحعلهم متأثرين في عواطفهم وسلوكهم بفكرة الولاء والانتماء لأرض معينة، ولديهم شعور بالجماعية Togetherness وقيمة هذه الجماعة وفضائلها، وقد يؤدي هذا إلى الغلو في التطرف في الوطنية Chauvinism وكذلك الخوف من الأجانب والغرباء Xenophobia ولكن الشعور القومي يوحد الجماعة للدفاع عن مصالحها ومستقبلها."
"Nationality Movements","حركة الجنسيات","و هي الحركات القومية التي قامت أصلا ً في أوربا خلال القرنين الثامن عشر والتاسع عشر لتكوين الدولة وفرض اتجاهات الأمة على الدولة، وتحولت لتفرض الدولة اتجاهاتها التوسعية على الأمة وهي مرحلة القومية Nationalism ، والتحول قضي تماما على مبدأ الجنسية Principle Of Nationality في العالم."
"Nationalization","التأميم","وهو إعادة المنشآت الاقتصادية بقوة القانون إلى سيطرة الدولة وإدارتها، أي تح ويل الملكية الخاصة للمصانع والمنشآت إلى ملكية عامة للدولة بموجب قانون خاص بذلك."
"Nationhood","فكرة الأمة","الأمة هي حقيقة ملموسة ولكن يصعب تعريفها بشكل عام، ولكنها تمثل في الأساس جماعة أثينية أو عرقية ترتبط بمشاعر وروابط تاريخية ولغوية وأقليمية تميزها عن أولئك الذين يحيطون بها من الخارج وتعبيرها السياسي القومية Nationalism."
"Nations League","عصبة الأمم","هي أول منظمة دولية مفتوحة تقام في العالم بعد انتهاء الحرب العالمية الأولى، لمحاولة إيجاد السلم والأمن في العالم، ولكنها لم تنجح في ذلك وانتهت بعد قيام الحرب العالمية الثانية عام ١٩٣٩ م، وكان مقرها في جنيف. الال"
"NATO","الناتو","وهو حلف شمال الأطلنطي الذي تشترك في عضويته الدول الأوربية والولايات المتحدة، وهو حلف سياسي وعسكري ويؤثر بشدة في السياسة الدولية."
"NATO","حلف الناتو","أنظر: حلف شمال الأطلنطي"
"Navel Blockade","حصار بحري","وهو منع وصول المؤن والذخائر إلى مواني الأعداء عن طريق البحر في وقت الحرب بواسطة القوة البحرية المسلحة،وهناك حصار بحري يطبق وقت السلم في حالة الأزمات أو الترهيب أو الردع،وقد يكون الحصار بقرار دولي من مجلس الأمن فيأخذ الشرعية الدولية،وقد يكون عمل فردي من دولة ضد أخري."
"Nazism","النازية","كلمة نازي مأخوذة من العبارة الألمانية)NSDAP(أي National Sozialistishe Dentsche Arbeiter Partei أي الإشتراكية القومية الألمانية، وهي حركة عرقية شمولية قادها هتلر وهيمنت على مقاليد الحكم في ألمانيا وعلى المجتمع الألماني بأسره، والحركة النازية حركة سياسية وفكرية ظهرت بعد الحرب العالمية الأولى، والسمة الأساسية للنازية هي علمانيتها الشاملة وواحديتها المادية الصارمة وأكدت التفوق العرقي للشعب الألماني على كل شعوب أوروبا وشعوب العالم وأنكروا الطبيعة البشرية."
"Negotiated Order","النظام التفاوضي","وهو نموذج للسلطات المعقدة ويعلن أن موضوعات التفاعل الاجتماعي تنطوي على مشكلات متعددة والغموض والصراعات والتوترات، وأن الأسلوب المشترك هو الحل الأمثل لتحقيق التوافق والتكيف من خلال عملية المساومة والتفاوض والاتفاق."
"Negotiations","مفاوضات","ويقصد بها سلسلة تبادل آراء وأفكار وسلسلة اتصالات رسمية بين مندوبين حكوميين لحل مشكلة بين دولتين أو أكثر وإقرار وضع سلام واستقرار وتعاون بينها أو لعقد تنظيم سياسي بينها لتبادل الاحتياجات والمنافع وللحيلولة دون وقوع المنازعات."
"Neighbourhood Councils","مجالس جوار","وهي مجالس موجودة في بريطانيا، تغطي كافة المدن، ويتم التحاور فيه بين الأفراد حول سبل تخصيص الموارد لمجالات الإسكان والمدارس والطرق والنقلا.. لخ... بالإضافة إلى دورها التمثيلي وليس التنفيذي."
"New Atlantis","أطلانطا الجديدة","هي يوتوبيا وضعها الفليسوف بيكون، وهي ضمن أعماله التي يعبر فيها عن مثالية لأنه لم يسعى لتقسيم الفقر بل كان يسعي لخلق الوفرة."
"New Frontier","الحد الجديد","مصطلح من ضمن مصطلحات وصف الاشتراكية الأفريقية، ومعها مصطلحات أخري مثل الحرية الجديدة والحد الجديد والنظام الجديد New Deal والنظام العادل Fair & Deal نادى بها هاريس وفورد ممثل كتائب السلام الخاصة بأفريقيا."
"New Frontier","الميدان الجديد","هو اتجاه ظهر في عهد جون كيندي وقوي كاتجاه وشعار أسطوري في الولايات المتحدة عام ١٩٦١ م."
"New Nations","الدول الج ديدة","و هي الدول التي حصلت على استقلالها حديثا ً وتحاول الجمع بين النظم المختلفة) الاشتراكية والليبرالية (اقتصاديا وسياسيا من خلال الحزب الواحد والاشتراكية الديمقراطية."
"New Temporist","الحركة الجديدة نح والاعتدال","وهي حركة جديدة في الولايات المتحدة تدعو لعودة النزعة الأخلاقية ووصفها ديفيد واجنر أحد علماء النفس الأمريكيين، بأنها حركة تستدف كبح الشهوات والسلوكيات بين الأفراد والمجتمع وإقامة نزعة أخلاقية سليمة تتوقف عليها صحة وسلامة بنيان الأ. مة"
"New – Thomism","نيوتومزم","هي مفهوم القومية الجديدة، أي محاولة تكييف سلطة الكنيسة الكاثوليكية وفق الأوضاع الحديثة، حيث كان لهذه الكنيسة سلطة كبيرة وما زالت محتفظة بالشكل الذي أورده القديس توما الأكويني في بعض البلاد القومية.    حرف الهاء"
"Nobel (Alfred)","نوبل","هو كيماوي سويدي ومن أثرياء العالم بين رجال الصناعة بالسويد واشتهر باختراعه للديناميت الحديث، وجمع من اختراعه أموالا ً طائلة، وتكفيرا ً عن ذنبه ضد البشرية أسس بأمواله جوائز نوبل في الأدب والعلم والسلام وتشجيعه بين العالم، وبدأت الجوائز في نهاية القرن التاسع عشر ومستمرة حتى الآن."
"Noems & Ideals","ثلعادات وم ثل عادات وم","هي السلوكيات الاجتماعية والسياسية التي تنتقل من جيل إلى جيل ولا نستطيع تغييرها بسهولة والتي ترسخ في وجدان المجتمع وي عمل النظام السياسي على التشبث بها ونقلها للأجيال الجديدة."
"Nomination","الترشيح","وهي العملية التي من خلالها تتقدم فئة من الشعب للانتخابات العامة من أجل إقناع جمهور الناخبين باختيارهم لتمثيلهم في المجالس النيابية المختلفة، وحسب القوانين الانتخابية في بلد المرشح، فقد يتقدموا بأنفسهم أو عن طريق الأحزاب والقوائم."
"Non-Aligned & Positive Neutrality","عدم الانحياز والحياد الإيجابي","هي حركة دولية بدأت عام ١٩٦١ م بالقاهرة عندما وضع المؤتمر التحضيري أول مفهوم لعدم الانحياز، وإن كانت قد بدأت فعليا في مؤتمر باندونج في إبريل ١٩٥٥ م بزعامة عبد الناصر وتيتو ونهرو، وعقدت أول قمة في يوغسلافيا في سبتمبر ١٩٦١ م وحضرها ٢٥ دولة ووصلت العضوية لنحو ٧٦ دولة عام ١٩٧٣ م والآن فقدت الحركة قياداتها التاريخية والمناخ العالمي الذي ظهرت فيه من الصراع الدولي بين المعسكرين الشرقي والغربي، فقلت أهميتها الدولية رغم انعقاد مؤتمرها الأخير في ماليزيا عام ٢٠٠٣ م بحضور نحو ١٢٠ دولة عضو في الحركة التي تعنى الوقوف على الحياد بين القوي الدولية المتصارعة وعدم الانحياز إلى أي كتلة من أجل تحقيق النمو والاستقرار."
"Non-Central","لا مركزية","مفهوم يقصد به إعطاء الفروع سلطات المركز الرئيسي، أي نقل السلطات إلى الفروع والمحليات وعدم تركيز كل السلطات في العواصم والمراكز الرئيسية. أنظر / المركزية"
"Non-Entanglement","سياسة العزلة","هي سياسةأمريكية بعزلة الولايات المتحدة الأمريكية عن الشئون الأوربية، وهي السياسة التي نادى بها جورج واشنطون وجيفرسون منذ استقلال الولايات المتحدة وحتى عام ١٩١٦ م، اعتمادا ً على أن البلاد تعيش في طمأنينة وسلام دون خوف من غزو أو عدوان خارجي اعتمادا ً على الموقع الجغرافي وهذا ما عزز سياسة العزلة والابتعاد الأمريكية."
"Non-Liberal","غير ليبرالي","هو مفهوم سياسي لما يسود العالم الثاني في التصنيف التقليدي لدول العالم، أي الدول ذات الاقتصاد الصناعي والتي تأخذ بالمبادىء الاشتراكية، وكذلك دول العالم الثالث.    حرف الفاء"
"Non-Violence","عدم العنف والدفاع السلبي","هي سياسة المهاتما غاندي، وهي سياسة تعني أن يقف الشعب ضد المستعمر موقف عدم تعاون وبطريقة سلبية ولا يلجا إلى العنف في المقاومة."
"Normal Channels","القنوات العادية","القنوات العادية هي المحددات المختلفة والطرق التقليدية للجماعات والتنظيمات والأحزاب السياسية التي تمارس فيها نشاط ها السياسي داخل الديمقراطيات الليبرالية."
"Norms","القواعد","هي الأسس والقوانين والدستور والعرف والعادات والتقاليد وغيرها، والتي يعنى منها أساسا ً الغرض من السياسة وغاياتها."
"Norms","المعايير","أنظر: القواعد أنظر القواعد وهي أحد عناصر البناء الاجتماعي، وتضع لنا قواعد محددة ومخصوصة للفعل الاجتماعي، وتترجم القيم الاجتما عية إلى حالات ملموسة. ومنها: المعايير الاجتماعية Social Norms وهي ما يقبله المجتمع من قواعد وعادات واتجاهات وقيم وغير ذلك من محددات، وتعتبر هذه المعايير الاجتماعية بمثابة أطر يرجع إليها الفرد كي تكون مرشدا ً لما ينبغي أن يكون سلوكه عليه"
"North Atlantic Treaty Organization","منظمة معاهدة حلف شمال الأطلنطي","(NATO)/ أنظر الناتو أنظر الناتو"
"Nouveaux Philosophes","الفلاسفة الجدد","وهو مصطلح يطلق على بعض الفلاسفة الذين تبنوا الموقف اليميني التقليدي المعرف من الماركسية والمتمثل في أن أي محاولة لبناء الاشتراكية ستقود تلقائيا ً إلى إقامة نظام تسلطي وإنشاء معسكرات اعتقال وأن هذا الأمر متأصل في الماركسية ذاتها."
"Nuclear Deterrence","الردع النووي","هو أسلوب من أساليب العلاقات الدولية برز مع تطور الأسلحة الحرارية والنووية وأنظمة عملها والتعامل معها،أي أنها سياسة امتلاك السلاح النووي لاستخدامه لردع الطرف الآخر وإجباره على عدم استخدام سلاحه النووي، وذلك بالتهديد بإلحاق أكبر أذى وخسارة به عن طريق السلاح النووي."
"O.C.D.E","منظمة التعاون والتنمية الاقتصادية","منظمة التعاون والتنمية الاقتصادية هي منظمة تجمع بين الدول الرأسمالية الكبري السبع أو الثمان حاليا ً، وهي مجموعة الدول المتقدمة تكنولوجيا وتضم الولايات المتحدة وبريطانيا وفرنسا وإيطاليا وألمانيا وكندا واليابان ومعهم حاليا روسيا الاتحادية، وتجتمع للدفاع عن مصالحها الاقتصادية أساسا ً."
"OAPEC","أوابك","وهي منظمة الدول العربية المصدرة للنفط وتجمع كل الدول العربية ال منتجة للبترول."
"Oasis","الواحة","الواحة هي المكان الذي يصلح للزراعة والسكنى وسط الصحراء، فهي أي منخفض من الأرض الصالحة للزراعة في منطقة صحراوية، ومن أشهر الواحات في مصر: سيوه والداخلة والخارجة والفرافرة والبحرية وباريس."
"Objective Responsibility","المسئولية الموضوعية","وهي مرحلة للحكم الأخلاقي على الأشياء وتظهر لدي الطفل في سن السابعة ويحكم الأطفال خلالها على خطورة الفعل على أساس الأضرار المادية أو النتائج العيانية لهم."
"Office For The Co-Ordination Of Humaniterian Affairs(OCHA)","مكتب تنسيق الشئون الإنسانية","هذا المكتب هو أ حد المكاتب الفنية التابعة للأمم المتحدة والخاصة بالمساعدات الإنسانية العاجلة."
"Official Government Policy","سياسة رسمية حكومية","وهي السياسة المعلنة من جانب الحكومة القائمة وفقا ً للقانون الأساسي أو الدستور ويوافق عليها البرلمان المنتخب من الشعب."
"Official Propaganda","الدعاية الرسمية","و هي الإعلام الرسمي للدولة والذي تسعي الدول من خلاله إلى ترسيخ بعض المفاهيم في نفوس المواطنين والرد على الدعايات المضادة والتأكيد على الشرعية، وتأكيد ال ذات في نفوس المواطنين Self-Fulfilling Assertion ، والدعاية الرسمية عالبا ً ما تكون دعاية سياسية Political Prop. وهي الدعاية التي تعمل على التأثير على آراء ومعتقدات الجماهير لجعلها تأخذ اتجاها ً معينا ً نحو الموضوعات السياسية."
"Operations","العمليات","وهي مجموعة مخرجات ومدخلات النظام من اختيار لتصفية مطالب أفراد المجتمع وتنظيم أولويات الاستجابة لهذه المطالب."
"Opinion","الرأي","وهو وجهة نظر أو حكم أو تقييم يكونه الفرد عن موضوع ما، أو هو الاعتقاد الذي تكون فيه أسباب الإيجاب أقوى من أسباب النفي، أما الظن Suspect فهو معرفة أدني من اليقين ويحتمل الشك، وإذا كان الرأي يمثل ما يزيد عن نصف الجماعة يسمى رأي الأغلبية Majority Opinion وإذا كان يعبر عما يقل عن نصف الجماعة يسمى رأي الأقلية Minority Opinion."
"Opinion Leader","قائد الرأي","القائد هو الذي يمتاز بالنفوذ والتأثير الشخصي في الجماعة التي ينتمي إليها، ويؤثر فيها."
"Organization Of American States (OAS)","منظمة الدول الأمريكية","وتضم مختلف الدول الأمريكية، وهي من أقدم المنظمات الدولية الأقليمية، وتقودها الولايات المتحدة الأمريكية، ولها أجهزة متخصصة."
"Organization Of Arab Petroleum Exporting Countries (OAPEC) / أنظر","منظمة الدول العربية المصدرة للبترول","أنظر أوابك"
"Organization Of The Islamic Conference (OIC)","منظمة المؤتمر الإسلامي","هي منظمة إسلامية تضم كل الدول الإسلامية وعددها ٧٧ دولة، وتهتم بالتنسيق بين الدول الإسلامية، ولها عدة مستويات أعلاها مؤتمر القمة الإسلامي، ومقرها مدينة جده السعودية، وبها لجان متخصصة مثل لجنة القدس."
"Organization Of The Petroleum Exporting Countries (OPEC )","منظمة الدول المصدرة للبترول","/ / أنظر أوبكأوبك"
"Organization Public","الجمهور المنظم","وهو يتكون من الفئات ذات التنظيم الاجتماعي والرسمي والذي يمكن قياسه كالكنائس والمساجد والهيئات والنقابات والجماعات المنظمة،والذي يمكن التأثير عليه بسهولة وتكوين اتجاهات مؤيدة بدلا من الجمهور غير المنظم ذو الا تجاهات غير المتعاونة والمتطرفة."
"Organized Interest","المصالح المنظمة","هي المصالح التي ترعاها جماعات شرعية في المجتمع والتي لها علاقة قانونية متبادلة مع الدولة، وتستطيع التأثير في السياسة العامة بالتشكيل والتغيير."
"Orthodoxy","الأرثوذوكسية","كلمة أصلها أغريقي Orthodoxos وتعني القديم، وهي حاليا عقيدة مسيحية منتشرة في الشرق، وتعنى العقيدة الأرثوذوكسية العقيدة الصائبة أو السديدة، وهي المعنية بالهدى والرشاد، وبدأت هذه العقيدة في بلاد اليونان وانتشرت بمصر والشرق كله، وتختلف في الكنيسة والتقاليد عن العقائد المسيحية الأخرى./ أنظر الكاثوليكية والبروتستانت."
"Orthodoxy","التراثية","أنظر: العقيدة السليمةأ والصحيحة"
"Outputs","المخرجات","مفهوم يتعلق بارتباط النظام بالبيئة، ويمثل استجابة النظام للمطالب الفعلية أو المتوقعة، أي السياسات والقرارات التي تتعلق بالتوزيع السلطوي للموارد، والمخرجات عادة: مخرجات إيجابية Positive ، مخرجات رمزية Symbolic مخرجات سلبية Negative."
"Overdetermination","الحتمية المفرطة","وهو مصطلح يعني أن الكثير يجري هناك، بمعنى أن القوى الفاعلة في التاريخ لا تعمل بمفردها، إذ قد يؤدي عدد كبير من القوى الاجتماعية إلى انتاج حدث واحد، والمصطلح يعني تضافر القوى أو تشابكها لتؤدي إلى أثر محدد."
"P L O / Palestine Liberation Organization","منظمة التحرير الفلسطينية","وهي تجمع منظمات ال مقاومة الفلسطينية وعلى رأسها منظمة فتح، وأعلنت في الستينات وما زالت تحمل نضال الشعب الفلسطيني ضد الأطماع الصهيونية ومعه حركة حماس والجهاد الإسلامي، ويرأسها أبو عمار ياسر عرفات حتى الآن. منظمة التربية والعلوم والثقافة التابعة للأمم المتحدة للأمم المتحدة United Nations Eductional, Scientific And Culture Organization (NESCO)"
"Pact","ميثاق أو عهد","ويقصد به وثيقة إنشاء تنظيم دولي، ويعني به اتفاق موسع لإنهاء حالة من القلق وعدم الاستقرار وتحديد قواعد معينة في مسار السياسة الدولية كميثاق عصية الأ مم أو الأمم المتحدة."
"Palestine","فلسطين","فلسطين بلد مقدس، سميت بهذا الاسم نظرا ً لمعيشة الفلسطينيين بها في القرن الثاني عشر قبل الميلاد، وتسمى أيضا أرض كنعان، وذكرت في التوراة ياسم الأرض المقدسة، وبها بيت لحم مهد السيد المسيح والمسجد الأقصى الذي أُسري بسيدنا محمد صلى االله عليه وسلم إليه، وهي تحتل المنطقة الواقعة جنوب شرقي البحر المتوسط في غرب آسيا، ويحدها من الشرق نهر الأردن والبحر الميت ومن الشمال الشرقي سوريا ومن الشمال لبنان ومن الجنوب الغربي شبه جزيرة سيناء بمصر والجزء الجنوبي من البلاد هو صحراء النقب وهو عبارة عن مثلث تلامس رأسه خليج العقبة، وعاصمتها القدس المدينة المقدسة، وتتكون الدولة الفلسطينية حاليا ً طبقا ً لاتفاقيات أوسلو بمنح الفلسطينيين حكما ً ذاتيا، قطاع غزة Gaza Strip وهو شريط على ساحل البحر المتوسط يمتد شمال ش به جزيرة سيناء ومساحته تبلغ ٣٦٣ ٢كم وعدد سكانه نحو المليون وربع المليون نسمة، والضقة الغربية لنهر الأردن West Bank وهي هضية تقع غربي البحر الميت ونهر الأردن، تحدها الأردن شرقا وإسرائيل في الشمال والغرب والجنوب، ومساحتها ٥٨٧٩ ٢كم وعدد سكانها حوالي ٢ مليون نسمة، وتسمى الحكومة الفلسطينية السلطة الوطنية الفلسطينية وبها رئيس السلطة المنتخب من قبل الشعب الفلسطيني ورئيس الوزراء المنتخب من قبل المجلس الوطني الفلسطيني، وفلسطين حاليا ً محتلة منذ عام ١٩٤٨ وبعض أجزائها أحتل عام ١٩٦٧ م من قبل إسرائيل."
"Palestine National Authority (PNA)","السلطة الوطنية الفلسطينية","أنظر: فلسطين"
"Pan German League","الجامعة الجرمانية","وتكونت في ألمانيا عام ١٨٩١ م في مدينة برلين، وكانت تدعو إلى ضرورة توحيد الشعوب التي تنتمي للجنس الألماني في أوربا وهي النمسا وبوهيميا والمجر وسويسرا ولوكسمبورج وأجزاء من هولندا والدانمرك وبلجيكا، كما دعت للتوسع الاستعماري في صورته التقليدية خ ارج أوربا في أراضي لم تدخل بعد في نطاق الامبراطوريات الاستعمارية القائمة."
"Pan-African Connnngress Movement","حركة مؤتمر الجامعة الأفريقية","و هي حركة أفريقية كان هدفها إقامة رابطة بين الدول الأفريقية في العقد الرابع من القرن العشرين وتزعمتها حركة ديبوا مع منظمة بادمور، وهذه الحركة دعت لحق تقرير المصير واستقلال الشعوب الأفريقية والعناصر الأخرى الخاضعة للوصاية، وتفرع عن الحركة اتحاد الجامعة الأفريقية Pan-African Federation وهو القسم البريطاني من الحركة، وعقدت عدة مؤتمرات لتنفيذ الحركة في أعوام ١٩١٩، ١٩٢١، ١٩٢٣، ١٩٢٧ في نيويورك ولم تنجح في إعلان الجامعة الأفريقية."
"Pan-Asiatic Association","جمعية الوحدة الآسيوية","جمعية الوحدة الآسيوية هي جمعية أسسها الكونت أوكوما Okuma وكان من أبرز رجال السياسةفي ذلك العصر، وكان هدفها بسط نفوذ اليابان على الدول الآسيوية."
"Paradigm","نهج عام","هو النضج العام لأي فرع من فروع العلم بحيث يتبناه غيره من العلوم فيصبح ذات صبغة عامة في الممارسة، مما يعني إمكانية تعميمه."
"Parish Councils","مجالس الأبرشيات","وهي مجالس موجودة في بريطانيا، تغطي كافة المناطق الريفية، ويتم التحاور فيه بين الأفراد حول سبل تخصيص الموارد لمجالات الإسكان والمدارس والطرق والنقل... الخ.."
"Parliamentary Government","الحكم البرلماني","وهو صورة من النظم الديمقراطية الحديثة، والتي يحكم فيها البرلمان بواسطة اختيار زعيم الأغلبية كرئيس مجلس الوزراء الذي ينتخب الشعب حزبه ويمنحه ثقته في الانتخابات البرلمانية، مثل بريطانيا وألمانيا وإسرائيل."
"Parliamentary Groups","الجماعة أو الهيئة البرلمانية","وهي جماعة مصالح في البرلمان ذات عدد وافر من الأعضاء ومشاركة برلمانية متناسقة وفق أهداف معينة، مثل الجماعة البرلمانية لحزب من الأحزاب أو المستقلين. الجماعيةية"
"Participation","التأييد والرضا الشعبي","هو مشاركة دون التأييد الكامل أو الرفض المطلق، أي أن ما يحدث من الحاكم يعنى المجتمع أو الاهتمام الظاهر به."
"Particular Fact","الحقيقة الخاصة) التخصيصية (","وهي مصطلح يقصد به إلصاق صفة معينة ثابتة على شخص معين في وقت معين، من واقع وظيفته أو مهنته أو سلوكه وتصرفاته السياسية والاجتماعية."
"Party","الحزب","كان قديما يعني الفرقة، أي رأي مخالف للتقاليد السياسية، أي الا ختلاف أو المعارضة أو قسم من المجتمع ينفصل عن المجتمع في بعض تصوراته السياسية، وهو حاليا أي تنظيم سياسي يسعي للسلطة كي يحقق مبادئه السياسية، في إطار منظومة الديمقراطية، لأن الديمقراطية في أبسط صورها تعني تعدد الأحزاب، فالحزب هو أداة لتنظيم الممارسة السياسية والمشاركة بين الطبقات الحاكمة والطبقات المحكومة."
"Party Bias","التحيز الحزبي","التحيز الحزبي مصطلح يقصد به أن يسود الانتماء الاحزبي على كافة الانتماءات الأخرى، وقد يتهم رؤساء الوزراء الحزبيين بهذا الاتهام في أوائل فترات استلامهم لمهامهم."
"Party Govt","الحكومة الحزبية","وهي حكومة يشكلها حزب معين حاز على أغلبية الناخبين وأغلبية مقاعد البرلمان، وتسعى لتنفيذ برنامج الحزب السياسي والاقتصادى والاجتماعي."
"Party Of People","حزب الشعب","أنظر: الحزب الشيوعي لفظ أطلق على الحزب الشيوعي في الاتحاد السوفيتي السابق لأن الناس كانوا ممثلين في أجهزة الحكومة من خلال مجالس السوفيت. وهناك الحزب الشيوعي السوفيتي (CPSU) Communist Party Of The Soviet Union وهو التنظيم السياسي الوحيد المعترف به في الاتحاد السوفيتي سابقا ً، والذي يقود البلاد من أجل تطبيق النظام الشيوعي، وهو القناة الرسمية الوحيدة للنفوذ في الدولة"
"Pastiche","الباستيش","وهو مصطلح يعنى المحاكاة بقصد السخرية حيث يكون ما نحصل عليه هو نسخة منسوخة عن أخرى."
"Pastiche","المحاكاة بقصد السخرية","أنظر: الباستيش"
"Patents","برابرا ءات اختراع","هي الرخص التي يحصل عليها المخترع أو المكتشف أو المبتكر الذي استطاع أن يضيف جديدا ً في مجال انتاجه، وله ضمانات عالمية حاليا ً في عصر العولمة لحماية اختراعه دوليا في حقوق الملكية الفكرية التي تضمنتها اتفاقيات الجات، ويضاف إلى تلك البراءات العلامات التجارية Trade Marks والتي تكون لها نفس الحماية."
"Paternalism Liberal","الأبوية الليبرالية","الأبوية الليبرالية مصطلح سياسي يطلق على النظام الأمريكي الذي يدعو لليب رالية تحررية في القمة) أي لفئة المتميزين الذين يحتلون مواقعهم بين نصف النظام الاجتماعي المتميز (وهدفها تنمية قدرات المواطنين الأكثر التصاقا ً بالماديات من الروحانيات."
"Patrimonialism","النزعة الوراثية","وهي نموذج حدده فيبر للسلطة التقليدية يقوم على الإدارة الوراثية Patrimonial Government وهي تعني استمرار النظا م العائلي الذي يعيشه الحاكم، أي أن العلاقات بين الحكام والمحكومين تقوم على السلطة الأبوية والاعتماد المطلق."
"Patriotism","الوطنية","الوطنية هي شعور يتكون عند الفرد بارتباطه بشعب أو جماعة معينة والولاء لنظام هذا الشعب، فالوطنية هي الشعور العاطفي للفرد بارتباطه ببيئة معينة، والوطنية في كافة مظاهرها عبارة عن الدافع الذي يؤدي إلى تماسك الأفراد وتوحدهم وولائهم للوطن وتقاليده وقيمه والدفاع عنه بالغالي والنفيس."
"Peace","السلام","السلام ما هو إلا حالة من الأمن والاستقرار والتفاهم تسود العالم أو منطقة منهو، التنمية والتقدم لا يتحققان إلا من خلال السلام العالمي، والتخطيط للسلام يمكن أن يحدد المفهوم الدقيق للسلام، ولا بد أن تستفيد الإنسانية كلها منه بوصفه قيمة مطلقة، وهو الذي يمنع اندلاع الحروب ويحقق الإفادة الفعلية للبشرية من التقدم العلمي والتكنولوجي."
"Peace Keeping","حفظ السلام","ويقصد به عمليات الأمم المتحدة في الميدان التي يتم من خلالها نشر أفراد عسكريين أو شرطة مدنيين تابعين للأمم المتحدة بهدف حفظ السلام وتوسيع إم كانات منع تجدد النزاع."
"Peace Making","صنع السلام","هو العمل الرامي إلى التوفيق بين الأطراف المتنازعة عن طريق الوسائل السلمية مثل التي ينص عليها الفصل السادس من ميثاق الأمم المتحدة، ومن ذلك إنشاء وحدات لفرض السلام Peace Enforcement Units مسلحة تسليحا أثقل من قوات حفظ السلام، وتوضع بصفة دائمة تحت طلب مجلس الأمن."
