"English Sentence","Arabic Sentence"
"The discussion demonstrates that it will not be possible to come to any further conclusions today. The session is therefore adjourned until 10 o'clock tomorrow morning.","لقد أظهرت المناقشة أنه لا يمكن اتخاذ قرارات أخرى اليوم، لذا سيتم تأجيل الجلسة إلى العاشرة من صباح غد."
"If nothing unexpected turns up (arises), we'll continue our discussion tomorrow morning at 10 o'clock in this lecture theatre.","إذا لم يطرأ شيء سنكمل جلستنا غداً في الساعة العاشرة في هذه القاعة."
"Since there are no other points, on the agenda, I propose that we adjourn until tomorrow morning, when we can resume our discussion.","بما أنه لا يوجد نقاط أخرى على جدول الأعمال، أقترح أن نستأنف جلستنا ومحادثاتنا صباح غد."
"I think we could exclude this point for now, and deal with it at our next meeting.","أعتقد أنه بإمكاننا تجاوز هذه النقطة الآن ومعالجتها في الجلسة القادمة."
"Permit me to summarize the contributions that have been made.","اسمحوا لي أن أخص المساهمة (الكلمة) السابقة."
"I should like to summarize once again the main points of today's exchange of opinions and ideas.","أحب أن أخص مرة ثانية النقاط الرئيسية لما تم تبادله من الآراء والأفكار هذا اليوم."
"In future, when fixing the time-table for the sessions, the organizers might try to allow more time for discussion.","يُحِبُّ على منظمي جدول الأعمال تحديد وقت أطول للمناقشات القادمة."
"Thank you very much for your interesting and informative report.","شكراً جزيلاً على محاضراتكم المهمة والمفيدة."
"It is a clearly established fact that international conferences not only improve the exchange of scientific information, but also, at the same time, promote a greater international understanding both at a personal level and at the diplomatic level.","لقد ثبت أن المؤتمرات الدولية لا تساعد فقط على تبادل المعلومات، بل أيضاً على دعم المتفاهم الدولي على المستوى الشخصي والدبلوماسي."
"As far as I know, the session will be in camera.","حسب معلوماتي فإن هذه الجلسة ستكون مُعلّقة (ليست عامة)."
"The Congress will be mainly concerned with the theme: ""The Responsibility of Science in the Cause of Peace"".","المؤتمر يحمل شعار ""مسؤولية العلم أمام السلام""."
"The conference was chaired by Professor Youssef from Baghdad.","سيترأس المؤتمر الأستاذ يوسف من بغداد."
"I wish you every success with your conference and should be pleased to hear of the outcome.","أتمنى لمؤتمركم كل النجاح ويسعدني أن أطلع على نتائجه."
"I am very pleased to have this opportunity of conveying to you my best wishes for the complete success of the conference.","يسعدني أن أنقل لكم أطيب التهنئة لنجاح المؤتمر."
"I congratulate you on undertaking the organization of such a significant conference.","أهنئكم على مهمّتك العظيمة بإقامة هذا المؤتمر."
"I send you my best regards for the conference and I hope that the discussions there will prove fruitful.","أبعث لكم بأعظم التمنيات لمؤتمركم وأمل أن تحظى مشاوراتكم بالنجاح."
"The official Opening Session will begin at 3 p.m. in the large Assembly Hall.","الجلسة الافتتاحية الرسمية تبدأ في الساعة الثالثة في القاعة الكبرى."
"Reports will begin each day at 9.00 a.m. Time has been allowed for discussion after each paper. Please ensure that your name is entered on the list of speakers in good time. 2) General Phrases Used in Discussions","تبدأ المحاضرات في تمام التاسعة صباحاً. بعد المحاضرات تجرى المناقشات. الرجاء تدوين أسنانكم قبل فوات الأوان على قائمة المتكلمين."
"I shall try to be brief.","سأختصر كلامي."
"I'm afraid we must break off the discussion there so that we can hear the rest of the contributions scheduled for today.","يَجِبُ أَنْ تُنْهِيَ الْمُنَاقَشَةُ لِصَالِحِ الْمُسَاهَمَاتِ الْمَتْبَعِيَّةِ عَلَى جَدْوَلِ الْأَعْمَالِ."
"Unfortunately, owing to lack of time the discussion must now be interrupted and continued tomorrow morning. (I'm afraid that, owing to lack of time, we shall have to stop there and resume the discussion tomorrow morning.)","لِلْأَسْفِ يَجِبُ أَنْ تُوَقِّفَ الْمُنَاقَشَةَ الْآنَ، بِسَبَبِ ضِيقِ الْوَقْتِ، وَسَوْفَ نَسْتَأْنِفُهَا فِي صَبَاحِ الْغَدِ."
"Owing to lack of time it is quite probable that we shall not be able to consider all contributions.","عَلَى مَا يَبْدُو سَوْفَ لَنْ نَقْدِرَ عَلَى دِرَاسَةِ جَمِيعِ الْمُسَاهَمَاتِ بِسَبَبِ ضِيقِ الْوَقْتِ."
"If you persist in interrupting the speaker, I shall be forced to end the discussion.","سَأُضْطِرُ لِقَطْعِ الْمُنَاقَشَةِ إِذَا تَابَعْتَ مُقَاطَعَتَكَ لِلْمُتَحَدِّثِ."
"The conference will be adjourned for a few minutes in order to clear up a moot point in the Executive Committee.","سَيَتَوَقَّفُ الْمُؤْتَمَرُ لِضَعْفَةِ دَقَائِقَ مِنْ أَجْلِ تَوْضِيحِ بَعْضِ الْمَسَائِلِ الْخُرْجَةِ مِنْ قَبْلِ اللُّجْنَةِ التَّنْفِيذِيَّةِ."
"For technical reasons we are unfortunately obliged to interrupt the session briefly.","لِأَسْبَابِ تَقْنِيَّةٍ طَارِئَةٍ سَتَكُونُ مُضْطَرِّينَ لِقَطْعِ الْجَلْسَةِ."
"The discussion will continue after a break of fifteen minutes.","سَتَتَابَعُ الْمُنَاقَشَةُ بَعْدَ إِسْتِرَاحَةٍ لِمُدَّةِ ١٥ دَقِيقَةٍ."
"Before we continue the discussion, we should try to clear up the difference of opinion that has become apparent.","قبل متابعة المناقشة سنحاول أولاً تسوية خلافات الرأي التي ظهرت."
"I think that this was a very valuable contribution.","أعتقد أن هذه المساهمة (المحاضرة) كانت قيمة جداً."
"I find this contribution significant, since Professor Sami has arrived at a similar conclusion using entirely different methods.","يبدو لي أن هذه المساهمة مهمة جداً، خصوصاً أن الأستاذ سامي وصل إلى نتيجة مماثلة ولكن عبر أساليب مختلفة."
"This contribution is particularly important for the rest of the discussion.","هذه المساهمة مهمة جداً للمناقشات اللاحقة."
"This problem was presented as the key point in the discussion.","لقد تبين أن هذه المسألة هي النقطة الأساسية للمناقشة."
"Just as the discussion was closing, another important proposal was made.","في نهاية المناقشة عرض (قدم) اقتراح هام."
"Please add Professor Rafiq name to the list of speakers.","أرجو تسجيل اسم الأستاذ رفيق في قائمة المتكلمين."
"I'm afraid the list of speakers is closed, and there is nothing I can do.","للأسف لقد أفضلت قائمة المتكلمين ولا أستطيع أن أفعل شيئاً."
"May I ask for further contributions?","الرجاء تقديم مداخلاتكم."
"There are still many speakers to come.","ما زال أمامنا العديد من المداخلات."
"Since there are no further contributions, I shall now bring the discussion to a close.","بما أنه لا يوجد مداخلات أو مساهمات أخرى ستُقبل (سنتهي) المناقشة."
"Since there are no more contributions, I shall now close the discussion and give a summary of the main points raised.","بما أنه لا يوجد مداخلات أو مساهمات أخرى، سأنهي المناقشة وأقدم ملخصاً لنقاطها الأساسية (الرئيسية)."
"This point (topic/issue) isn't under (up for) discussion yet.","هذا الموضوع (نقطة - قضية) هو ليس ضمن المناقشة حتى الآن."
"This topic will be the subject of discussion tomorrow.","هذه النقطة ستكون أيضاً موضوع مناقشة الغد."
"When the individual sessions have finished we can deal with any outstanding matters under the ""miscellaneous"" heading on the agenda.","عند الانتهاء من المشاورات الفردية سنعالج نقطة ""متفرقات""."
"Can we now turn to the item ""Any Other Business""?","نستقل الآن إلى نقطة ""متفرقات"" على جدول الأعمال."
"Allow me to put the question again. Is there Any Other Business?","أريد أن أسأل، هل توجد مداخلات أخرى تحت بند ""متفرقات""؟"
"With that we shall close the discussion on this item of the agenda.","ننتهي الآن من هذه النقطة في جدول الأعمال."
"We hope you will understand that the papers were not able to deal with every aspect in detail.","نأمل أن تنفهموا أنه لا يمكن عرض (شرح - تناول) جميع النواحي في هذه المحاضرة."
"Unfortunately, some discussions wandered from the main theme of the session.","للأسف فإن بعض المناقشات خرجت عن الموضوع الأساسي للجلسة."
"We cannot approve such measures.","لا نستطيع قبول (الموافقة على) إجراءات كهذه."
"These recommendations need to be discussed further.","يجب متابعة مناقشة هذه التوصيات."
"We cannot take this assertion without contradiction. (We are forced to contradict this assertion.)","لا يمكن أن نقبل بهذه الإدعاءات بدون اعتراض."
"I am not convinced by such reasoning. (This argument does not convince me/does not strike me as convincing.)","إنني لست مقتنعاً بهذه الحجة."
"We categorically reject such suggestions.","نحن نرفض مثل هذه الاقتراحات."
"We hope that there will be no delay.","نأمل ألا يكون هناك أي تأخير."
"I mention this only in passing.","أذكر هذا فقط على الهامش."
"In view of this, we can consider the proposal as null and void.","نظراً لذلك، نعتبر الاقتراح لاغياً."
"This compendium does not claim (makes no claim) to be comprehensive.","هذا الملخص لا يعتبر شاملاً."
"This was an oversight.","لقد كانت هذه هفوة"
"I'd like to say quite clearly (I'd like to make it quite clear) that there is no personal blame involved here.","أريد أن أقول بكل وضوح أنه لا يوجد خطأ شخصي."
"There's no cause for alarm. It's simply a clerical error.","لا داعي للإضطراب، هذا فقط خطأ مطبعي (غلطة مطبعية)."
"We have to admit that in this neglected field there are still a few things in a bit of a bad way.","يجب أن نعرف بأنه في هذا المجال المهمل يوجد بعض المساوى"
"This is, of course, contrary to all previous experience.","هذا يتعارض (يتناقض) بكل وضوح مع جميع التجارب السابقة."
"The last word on this matter has not yet been spoken.","في هذا الموضوع لم يلفظ القول الأخير بعد."
"I should like to go into greater detail on this aspect (of the matter).","سأشرح هذه النقطة مرة أخرى مفصلاً."
"This attitude does not convince us.","هذا الموقف يبدو لنا غير مقنع (لا يقنعنا)."
"This formulation (expression) seems fairly/ pretty/extreme.","هذا التعبير (الصياغة) تبدو لي حادة."
"These explanations are rather vague.","هذا التفسير (التوضيح) مبهم (غير واضح)."
"These and other considerations or reservations which might be similarly expressed are, in the light of the latest results of investigations, completely without foundation.","سننًا للنتائج الأخيرة، فإن هذه الاعتبارات وكل التحفظات المماثلة التي عرضناها، يبدو أنه لا أساس لها."
"I expect I need not bother with further explanations in the present company.","إنني أعتقد أننا لسنا بحاجة إلى شروحات إضافية للحملة الحالية."
"We are faced with the same problems.","إننا نواجه المشاكل ذاتها."
"We welcome these proposals.","إننا نرحب بهذه الاقتراحات."
"I think this point is particularly important.","إني أعتقد أن هذه النقطة هي مهمة جداً."
"We shall be happy to consider any further suggestions or special wishes participants may have.","إنه من دواعي سرورنا اعتبار آلية إقتراحات مستقبلية يقدمها المشاركون."
"Let us return to our point of departure. (Let's go back to where we began)","دعنا نعود إلى حيث بدأنا."
"That was, of course, important, but now we come to the substance (heart) of the matter.","كان هذا هام جداً، ولكننا عدنا الآن إلى قلب القضية."
"Let's get down to business.","دعنا نبدأ الأعمال."
"Keep to the point!","حافظوا على الموضوع."
"May I have your attention, please?","أرجو انتباهكم."
"Would you please comment (express your views) on that?","أرجو أن تعلقوا على هذا الموضوع."
"How do we intend to proceed, then? (Well, how shall we go about it?)","كيف نسوي أن نستطيع (حسنًا، كيف سنستطيع الأمر)"
"Does that answer your question, Dr Khalil?","دكتور خليل، هل هذا يجب على سؤالك؟"
"What made the discussion become so heated so suddenly?","ما الذي جعل المحادثات فجأة أكثر حرارة؟"
"Would you speak a little louder, please? (Would you speak up, please?)","أرجو أن ترفع صوتك قليلاً؟"
"Speakers are kindly requested to talk more slowly so that the inter- preters can give as a complete translation if possible.","أرجو من المتحدثين أن يستكلموا بسؤدة حتى يستطيع المترجمون أن يقوموا بترجمة كاملة."
"Mr Black's idea is a new one and seems to be worthy of consideration.","يبدو أن فكرة السيد أسود جديدة وتستحق الاعتبار."
"Perhaps Professor Salam, who has been dealing with this problem for some years, could give us his opinion?","عسى الأستاذ سالم الذي كان يواجه هذه المشكلة لسنوات يستطيع أن يبين لنا وجهة نظره."
"The treasurer has an important announcement to make.","عند أمين الصندوق إعلان هام للإطلاع عليه."
"The next speaker is Professor Issa, of the Lebanese delegation.","المتكلم السالي هو الأستاذ عيسى من البعثة اللبنانية."
"Would Madame Richa care to speak now?","هل تتفضل السيدة ريتا بالكلام الآن."
"You can bring this point up when the session is open.","تستطيع التقدم بهذه القضية عند ابتداء الجلسة."
"Before I call upon the next speaker, have a short announcement.","قبل أن أنادي على المتكلم التالي عندي إعلان صغير."
"This is only a small meeting, so I think you could speak from your place.","هذا اجتماع جانبي لذا تستطيع المساهمة من مكانك."
"You may address the meeting, but I can allow you only 10 minutes.","تستطيع المشاركة في الكلام، ولكني أسمح لك بعشر دقائق فقط."
"Since I am speaking, I should like to thank the chairman for his masterly control of this complex debate.","بما إني أحاطبكم أود أن أشكر الرئيس على تنظيمه لهذا الحوار المتشعب."
"If Mr William still wishes to speak, would he please come up to the rostrum?","إذا كان السيد وليم يود أن يتكلم، أرجو أن يصعد إلى المنبر."
"The granting and withdrawal of the right to speak are entirely the prerogative (at the discretion) of the chairman.","منح وسحب حق الكلام هو امتياز قطعي للرئيس."
"Mr Morris, I'm afraid I shall have to rule you out of order. I shall have to stop you speaking.","سيد موريس يؤسفني أن أكون مضطراً لشطب اسمك من اللائحة ومنعك من الكلام."
"What expectations do you have of this conference?","إني أطلب الآن من الأستاذ مسعود (من اليمن) أن يقدم لنا مشاركته."
"You might know more about the arrangements for the conference.","إني أنادي على أمين السر ليقدم تقريره."
"Are you a member of a permanent commission?","هل أنت عضو في لجنة دائمة؟"
"How long have you been serving on this committee?","منذ متى وأنت في هذه اللجنة؟"
"What is your opinion of the conference so far?","ما هو رأيك بالمؤتمر حتى الآن؟"
"I'd be interested to know if the conference participants have been satisfied with the programme up to now.","إنني مهتم لمعرفة إذا كان المشاركون في هذا المؤتمر راضون حتى الآن."
"May I repeat that once more?","هل لي أن أكرر ذلك مرة أخرى؟"
"May I enlarge on the arguments put forward by the previous speaker?","هل لي أن أتوسع بمناقشة ما أورده المتكلم السابق؟"
"Are there any more comments on this problem? (Does anyone else wish to comment on this problem?)","هل هناك أي تعليقات تخص هذه القضية، وهل هناك متحدث آخر يود أن يعلق؟"
"Are you positive (certain) that no errors have been made?","هل أنت متأكد أنه لا يوجد خطأ ما؟"
"I haven't quite (fully) understood your question. Would you repeat it slowly, please, since I can't follow your language so quickly?","لم أفهم سؤالك هل تتفضل بتكراره بروية، لأنني لا أستطيع أن أفهم لغتك السريعة؟"
"Would (Could) you be more specific about what you've said?","هل تستطيع أن تحدد ما تفضلت بذكره؟"
"Can I at this point ask our colleagues from France and the GDR if they can join in the preliminary work for our final report?","هل أستطيع أن أسأل زملاءنا من فرنسا وألمانيا المساهمة بوضع التقرير المبدئي؟"
"Would Professor Omer like to state the objections of his working group to the proposed project?","هل يريد الأستاذ عمر أن يحدد اعتراضات فريق عمله على المشروع المقترح؟"
"I'm interested to know if you agree with the extra demands we have just heard from the lebanese delegation.","أنا مهتم بمعرفة مدى موافقتكم على الطلبات الإضافية التي تقدم بها الوفد اللبناني."
"Would you mind explain how this interesting project might be realized?","هل تتفضلون بشرح كيفية تحقيق هذا المشروع الهام؟"
"Might I ask you which research projects are being worked on in your institute at the moment?","هل لي أن أسألكم ماهي أبحاث المشاريع التي تقوم بها مؤسساتكم حالياً؟"
"- I should have liked to learn something about your practical experience in the application of this technique.","إني أتمنى أن أطلع على بعض التجارب العملية للتطبيقات الفنية."
"Please be so kind as to tell us in which direction you intend to continue your research work.","هل يمكنكم إعلامنا بالاتجاه الذي تنوون سلوكه لمتابعة بحثكم."
"Would you mind saying something about the possible uses of this machine?","هل تتفضل بإعلامنا عن كيفية استعمال هذه الآلة؟"
"I'm interested to know how yesterday's conference on the principles of the remodelling of old housing areas went. ciper au travail préliminaire de notre rapport final?","أود الاستعلام عما أدى إليه البحث خلال الأيام الماضية حول إعادة ترتيب واجهات المنازل القديمة؟"
"Could you say anything about how your country solves urban traffic problems?","هل يمكنك إعلامنا عن كيفية حل مشاكل السير في المدن في بلدكم؟"
"What is your attitude to the problems Dr Karam raised regarding the stability of the planned television mast?","ما هو موقفكم من المشاكل التي ذكرها الدكتور كرم والمتعلقة بتوازن سارية التلفزة."
"Could you possibly tell us if the delivery date can be kept (adhered to)?","هل من الممكن إعلامنا إذا أمكن الحفاظ على أوقات التسليم؟"
"Might I ask how your country has managed to achieve such an astonishing standard of education?","هل لي أن أسأل كيف استطاع بلدكم أن ينجز هذا المستوى المذهل من التعليم؟"
"How would you define a conurbation?","كيف تفسر تجمع الكتل السكانية في المدن؟"
"Might I ask what is meant by that (technical) term?","هل لي أن أسأل عن معنى هذا التعبير الفني؟"
"Can you say when and why the investigation which was so urgently necessary was suddenly stopped (discontinued /called off)?","هل لك أن تعلمني لماذا ومتى أوقف التحقيق فجأة والذي كان مهمًا جدًا؟"
"Could there, in your opinion, be any good reasons or plausible explanations for the abrupt interruption (discontinuance) of this research work?","هل تعتقد أن هناك سببًا هامًا أو تفسيرًا دعى إلى وقف عمليات البحث؟"
"Did you also come across new problems when applying this modern procedure (process)?","هل واجهتكم أية مشاكل عند تطبيقكم هذه الإجراءات الحديثة؟"
"Allow me to give (quote) a few examples.","ماذا تتوقع من هذا المؤتمر."
"Allow me to make the following comment on that point.","يجب أن تعلم أكثر عن ترتيبات المؤتمر."
"Well, let's put it to the test.","ماهي المواضيع الإضافية التي يجب علينا زيادتها؟"
"Might I enlarge on the arguments of the previous speaker?","هل صحيح ما أفدت به بأن هذه الترتيبات هي صالحة مؤقتاً فقط"
"Would you mind giving us your opinion on this matter?","بأي من الحلول المقترحة توصي؟"
"We recommend that this point should be considered (examined) more closely.","من يود الانضمام إلى هذه اللجنة الجديدة المتعلقة بالإدمان؟"
"Please don't let all the formula confuse you.","أرجو أن لا تسمحوا للمعادلة بإرباككم."
"Permettez-moi de dire mon propre avis.","أرجو أن تسمحوا لي بإبداء رأيي الشخصي."
"We should accord the work of this commission in particular the attention it deserves and allocate to it the additionally requested funds.","يجب أن نولي عمل اللجنة الاهتمام الذي تستحقه، وأن ننتجها التمويل الكافي."
"Could I ask you to stand in for me at tomorrow's meeting of the Steering Committee, as I'm unable to come for urgent personal reasons?","هل يمكنني أن أطلب إليك أن تنوب عني غدا في اجتماع لجنة الإدارة لأني لن أتمكن من الحضور لأسباب قاهرة."
"In my opinion we should analyse the problems raised still more thoroughly and extensively.","إني أعتقد أنه علينا تحليل المشاكل التي تواجهنا بالكامل وبالعمق."
"I should like to ask you, also in my capacity as spokesman for my delegation, (further) to consider the following questions.","إني أود أن أسألكم بصفتي كمستكلم باسم بعثتي أن تهتموا بالأسئلة (النقاط) التالية"
"I should like to take up a point made by the last speaker and elaborate on it.","أرجو الاستفاضة ببحث النقطة التي أثارها المتكلم الأخير."
"May I quote a couple of significant examples from our years of practical experience?","هل لي أن أذكر مثلين هامين يتعلقان بسنين من خبرتنا العملية."
"Can I first of all just roughly put this into words?","هل أستطيع أولاً أن أصيغ هذا في كلمات؟"
"Finally, one more important problem should be discussed and that is the question of the economic feasibility of the recommended methods.","أخيراً، هناك معضلة أخرى يجب البحث بها وتلك هي مسألة الإجراءات الاقتصادية المتعلقة بالأساليب الموصى بها."
"Allow me, in addition, to enumerate some shortcomings that have come to light in the course of our frank and open discussion.","اسْمَحُوا لِي أَيْضًا أَنْ أُحْصِيَ الْأَخْطَاءَ الَّتِي أَوْضَحْنَاهَا خِلَالَ مُنَاقَشَاتِنَا الصَّرِيحَةِ وَالْمَفْتُوحَةِ."
"I'd like to introduce my remarks with a well-known quotation from Goethe (Shakespeare).","إِنِّي أَوَدُّ أَنْ أَذْكُرَ مُلَاحَظَاتِي بِعِبَارَاتٍ مَشْهُورَةٍ لِـ غَوْتِهِ مِنْ كِتَابِهِ: شَكْسِير."
"Allow me to quote from the publication mentioned word for word ... End of quotation. 6) Reply -Answer","اسْمَحُوا لِي أَنْ أَقْبَسَ مِنَ الْمَنْشُورِ الْمَعْنِي حَرْفِيًّا، كَلِمَةً فَكَلِمَةً ... نِهَايَةَ الْاِقْتِبَاسِ."
"One cannot but agree with Dr John when she states that there must be still greater investment for these important medical research projects.","اسمحوا لي أن أعطيكم بضعة أمثلة."
"In my opinion yet further important influences are at work here.","اسمحوا لي أن أقدم التعليق التالي بخصوص هذه النقطة."
"I should like to make the following comment (statement) on (to) what has been said: The economies referred to result from our favorable experimental conditions and are unlikely to be fully realized in other circumstances.","حسناً، دعونا نضعها تحت الاختبار."
"I know that my opinions are not supported sufficiently in this committee.","هل لي أن أفصل موضوع نقاش المتكلم السابق؟"
"I don't think the contribution to the discussion was completely objective in all its points.","لا أعتقد أن المساهمة في هذا البحث كانت موضوعية في جميع النقاط."
"One can say that the evening was a complete success.","نستطيع القول أن أمسيتنا حققت نجاحاً باهراً."
"It is certain that yet another comprehensive piece of research work is necessary on account of the many aspects of this problem.","حتماً يجب القيام ببحث شامل يتعلق بجواب هذه المعضلة جميعها."
"It is obvious that a mistake in calculation has been made here.","من الواضح أن هناك غلطة حسابية ارتكبت هنا."
"It is clear to me that despite hours of discussions some important questions have still remained open.","يبدو لي أنه بالرغم من استمرار المناقشات لساعات بقيت نقاط هامة لم تعالج بعد."
"In the final reports it is stated that the work groups fulfilled their given tasks within the time limit.","ذكر في التقارير النهائية أن أفرقاء العمل أثنوا مهماتهم خلال الوقت المحدد."
"It has been shown that the preparations for Congresses of this size and importance should begin even earlier.","تبين وجوب بدء التحضيرات لمؤتمرات بهذا الحجم والأهمية باكراً."
"May I say the following on this matter? We are dealing with a similar problem in our study-group 2 and would therefore like to contact you for an exchange of information.","لدي ما أقوله في هذا الصدد. إننا نواجه مشكلة مشابهة في حلقتنا الدراسية الثانية، لذلك نود الاتصال بكم بغية تبادل المعلومات."
"In my opinion these experiments should have been begun much earlier.","أعتقد أنه كان من المفترض بدء هذه التجارب في وقت أبكر."
"As I have read, this hypothesis is also supported by the English physicist Powl.","لقد قرأت أن الفيزيائي الإنكليزي يول يؤيد هذه النظرية."
"As far as I know, Dr Nour is no longer dealing with this problem.","وفق علمي، توقف الدكتور نور عن التعامل مع هذه المشكلة."
"As far as I am informed, the examinations have not yet led to a positive result.","وبحسب ما أفدت فإن الفحص لم يؤد بعد إلى نتائج إيجابية."
"If I am not mistaken, there is quite a significant error of reasoning somewhere in this.","إذا لم أكن مخطئاً، ورد خطأ تقييمي هام."
"If I am not labouring under a false impression, Professor Adib from Harvard University finished a similar series of experiments.","إذا لم أكن مخطئاً، أعتقد أن الأستاذ أديب من جامعة هارفرد قد أنهى سلسلة تجارب مشابهة."
"If I remember rightly, the same problems were discussed at the last symposium.","حسبما أذكر فإن هذه المعضلة قد نوقشت في الاجتماع الأخير."
"If I have understood correctly, you are at odds with the traditional view.","إذا كنت فهمت جيداً، فإنك تخالف الرأي التقليدي."
"I believe you are putting forward a very hypothesis in this case.","إني أعتقد أنك تقدم نظرية جسورة في هذه القضية."
"I would say that the results partly contradict the experience gained so far.","يجب علي القول أن النتائج تتعارض جزئياً مع الاختبار المكتسب حتى الآن."
"It seems to me that Dr Badih has, however, neglected to pay attention to an important factor.","يبدو لي أن الدكتور بديع قد أغفل انتباهه عن عامل هام."
"It seems to me that an extremely important discovery for news-technology has been made here.","يبدو لي أن اكتشافاً هاماً جداً متعلقاً بتقنية الأخبار قد برز هنا."
"It isn't clear to me why you reject our research results so strongly.","أجهل لماذا تعارض نتائج أبحاثنا بكل هذه القوة."
"It isn't clear to me how you achieved such measurement-precision.","أجهل كيف أنتمت هذه القياسات الدقيقة."
"I believe one can safely say that in this field of science we still have a great deal to catch up on.","أستطيع القول أنه في حقل العلوم هذا لا زال أمامنا طريق طويل لقطعها."
"Professor Daniel explains that this vaccine has no harmful side-effects at all.","يشرح الأستاذ دانيال أن هذا السدواء لا يملك أية عوارض جانبية مؤذية."
"As is claimed (as it has been claimed), there are no negative after-effects to take into account with this remedy.","كما صرح أنه لا ينجم عن هذا الدواء أية عوارض سلبية."
"As our Arabic colleague has stated, the new product has passed all its tests with flying colours.","وكما ذكر زميلنا العربي، لقد تجاوز منتوجنا الجديد كل اختباره ونال ثقة قوية."
"These conclusions will hardly stand up to critical analysis.","تواجه هذه الاستنتاجات بشدة أي تحاليل مخالفة."
"I must admit that a mistake has been made here.","لا يمكننا إلا أن نوافق الدكتور جون في إعلانها عن إمكانية وضع استثمار أكبر في هذه المشاريع للأبحاث الطبية."
"I can't deny that an important influencing factor has been neglected here.","أَعْتَقِدُ بِوُجُودِ تَأْثِيرَاتٍ مُهِمَّةٍ تَفْرِضُ نَفْسَهَا."
"I share your opinion that the submitted proposals must be carefully examined.","أَرْغَبُ بِالتَّعْلِيقِ عَلَى مَا سَبَقَ ذِكْرُهُ: إِنَّ التَّوْفِيرَ النَّاتِجَ عَنْ تَحْسِينِ الظُّرُوفِ الْمَوْضُوعِيَّةِ لِتَجَارِبِنَا يَبْدُو أَنَّهُ مِنَ الصَّعْبِ تَحْقِيقُهُ كُلِّيًّا فِي ظِلِّ ظُرُوفٍ أُخْرَى"
"I must accept this, but it doesn't change anything in the principle of the technology.","أَدْرَكَ تَامًّا أَنْ أَرَأَيْتَ لَيْسَتْ مَدْعُومَةً كِفَايَةً فِي هَذِهِ اللَّجْنَةِ."
"I can agree with that only with reservations, because the series of experiments has only just begun.","إِنِّي أَقْبَلُ ذَلِكَ بِتَحَفُّظٍ، لِأَنَّ سِلْسِلَةَ الْإِخْتِبَارَاتِ ابْتَدَأَتْ لِتَوَّاهَا."
"Certainly, providing however that the necessary primary data can be obtained.","بالتأكيد، شرط إمكانية الحصول على البيانات الأولية."
"Yes, but only when safety (security) regulations are strictly followed.","نعم، لكن فقط عند الالتزام بشروط الأمان."
"I can accept the proposal only if the functional arrangement of the production buildings is changed.","أستطيع فقط أن أقبل الإفتراح إذا تغيرت الترتيبات الرسمية لإنتاج البناء."
"I can give my assent only when an exact check of the safety regulations has been carried out. 7) Accord","إني أعطي موافقتي عند القيام بفحص دقيق لقواعد السلامة."
"I could agree if the last paragraph in the report is changed according to our proposals.","سَأَوَافِقُ عِنْدَ تَعْدِيلِ الْمَقْطَعِ الْأَخِيرِ مِنَ التَّقْرِيرِ طَبَقًا لِإِقْرَاحَاتِنَا."
"I can agree with this statement only with reservations, because the number of experiments carried out is not yet sufficient.","إِنِّي أَوَافِقُ بِتَحْفَظُ عَلَى هَذَا التَّقْرِيرِ لِأَنَّ عَدَدَ التَّجَارِبِ الْمُتَعَلِّقَةِ بِهِ غَيْرُ كَافِيَةٍ."
"I can agree only with certain reservations to the statement that the difficult problem has already been completely solved.","أَوَافِقُ قِطَطَ مَعَ بَعْضِ التَّحْفَظَاتِ عَلَى هَذَا التَّقْرِيرِ بِمَا أَنَّ الْمَشْكَلَةَ الصَّعْبَةَ قَدْ حَلَّتْ نَهَائِيًّا."
"Unfortunately it really is so. Many accidents at work can be traced back to the inadequate qualifications of the operating staff.","لَسُوءُ الْحَظِّ الْأَمْرَ صَحِيحٌ، إِذْ أَنَّ عَدَدًا مِنَ الْحَوَادِثِ الْمُنَاقِثَةِ خِلَالَ الْعَمَلِ، مَرَدَّهَا إِلَى عَدَمِ خِبْرَةِ الْعَمَلِ."
"Yes, I simply must agree with you. The conference has made a considerable (significant) contribution to the clarifying of opinions up till now divergent. 8) Doubt","نَعَمْ، يَجِبُ أَنْ أَوَافِقَ مَعَكُمْ عَلَى أَنَّ الْمُؤْتَمَرَ قَدْ قَامَ بِسَاعِ هَامَةٍ لِإِضَاحِ الْآرَاءِ الَّتِي لَا تَزَالُ مُبَايِنَةً حَتَّى الْآنَ."
"I doubt whether the committee can still be persuaded to change its previous opinions.","يُحِبُّ أَنْ أَقْرَأَهُ إِذْ أَنْ خَطَأَ وَقَعَ هُنَا."
"I doubt whether there is a united opinion about this thesis within the research team.","لا أستطيع أن أنكر أن هناك تجاهل لقضية مؤثرة وهامة هنا."
"I am not convinced that Dr Malek will withdraw his criticisms.","أنا غير مقتنع بأن الدكتور مالك سيسحب انتقاداته."
"I don't know if he really deserved this reproach.","أنا لا أعلم إذا كان حقاً يستحق هذا التأنيب."
"I am not sure, because I don't know the situation exactly.","لست متأكداً، لأني لا أعلم الوضع جيداً."
"It is doubtful","إنها قابلة للشك."
"That is hardly possible.","إنها شبه مستحيلة."
"I am not quite sure as to whether the interpreter translated this sentence correctly.","أنا لست متأكداً إذا كان المترجم قد ترجم هذه العبارة بطريقة صحيحة."
