english,arabic
Ambulates,يتجوّل
Ambulating,التّجوّل
Ambulation,التمشّي
Ambulatories,ممْشى
Ambulatory,متجوّل
Ambuscade,الكمين
Ambuscaded,باغت
Ambuscader,مباغت
Ambuscades,الكمائن
Ambuscading,مباغتة
Ambush,الكمين
Ambushed,نصب كمينًا
Ambusher,أمبشر
Ambushes,الكمائن
Ambushing,نصب كمينًا
Amdahl,أمدال
Amelia,أميليا
Ameliorate,حسّن
Ameliorated,حسّن
Ameliorates,يحسّن
Ameliorating,التّحسين
Amelioration,التّحسين
Ameliorations,التحسينات
Ameliorative,محسّن
Amen,آمين
Amenability,المطاوعة
Amenable,قابل
Amenableness,المسؤولية
Amenably,طوْعاً
Amend,حسّن
Amende,تعويض
Amended,تحسّن
Amender,معوّض
Amending,التّحسّن
Amendment,التّعديل
Amendments,التّعديلات
Amends,يتحسّن
Amenities,الميزات
Amenity,الميزة
Amenorrhea,انقطاع الطّمث
America,أمريكا
American,الأمريكيّ
Americana,الوثائق الأمريكيّة
Americanism,الاصطلاح الأمريكيّ
Americanizations,الأمركة
Americanized,جعل أمريكيّ
Americans,الأمريكيّون
Americas,الأمريكتين
Americium,أميريشيوم
Ames,أميز
Ameslan,أميسلان
Amethyst,حجر أميثِست
Amethystine,بنفسجي
Amethysts,أحجار أميثِست
Amharic,الأمحارك - اللغة الاثيوبية
Amherst,أمهيرست
Ami,أمي
Amiability,اللّطف
Amiable,أنيس
Amiableness,اللّطف
Amiabler,محبوب
Amiablest,محبوب
Amiably,بأنس
Amicable,ودّيّ
Amicableness,السلم
Amicably,بشكل ودّيّ
Amid,وسط
Amide,الأميد
Amidst,وسط
Amigo,الصّديق
Amino,أمينيّ
Aminobenzoic,أمينوبنزوي
Amiss,خاطئ
Amities,الصداقات
Amity,الصّداقة
Amman,عمّان
Ammerman,أميرمان
Ammeter,مقياس التّيّار الكهربائيّ
Ammeters,مقاييس التّيّار الكهربائيّ
Ammo,الذّخيرة
Ammonia,النّشادر
Ammoniac,نشادري
Ammonias,الأمّونيا
Ammonium,الأمونيوم
Ammunition,الذّخيرة
Ammunitions,الذّخائر
Amnesia,فقدان الذّاكرة
Amnesic,فاقد الذّاكرة
Amnestied,عفا
Amnesties,العفو العامّة
Amnesty,العفو العامّ
Amnestying,العفو
Amoco,شركه أموكو
Amoeba,الأميبا
Amoebae,الأميبات
Amoebas,الأميبات
Amoebic,أميبيّ
Amok,الجنون القاتل
Among,بين
Amongst,بين
Amoral,لا أخلاقيّ
Amoralities,لا أخلاقيّات
Amorality,الفساد
Amorally,متحايد أخلاقيًّا
Amorous,غراميّ
Amorously,بغرام
Amorousness,الغرام
Amorphous,بلا ملامح
Amorphously,بلا شكل محدّد
Amorphousness,الغموض
Amort,على وشك الموت
Amortizable,مقسّط
Amortization,التّقسيط
Amortizations,التّقسيط
Amortize,سدّد
Amortized,سدّد
Amortizes,يسدّد
Amortizing,التّسديد
Amos,عاموس
Amount,الكمّيّة
Amounted,مبلوغ
Amounter,محدّد الكمّ
Amounters,محدّدوا الكمّ
Amounting,البلوغ
Amounts,الكمّيّات
Amour,العلاقة الغراميّة
Amours,العلاقات الغراميّة
Amp,الأمبير
Amperage,قوّة تيّار كهربائيّ
Amperages,قوّات تيّار كهربائيّ
Ampere,الأمبير
Amperes,الأمبيرات
Ampersand,الو
Ampersands,الوات
Ampex,أمبيكس
Amphetamine,المقوّي
Amphetamines,المقوّيات
Amphibian,الكائن البرمائيّ
Amphibians,الكائنات البرمائيّة
Amphibious,برمائيّ
Amphibiously,بشكل برمائي
Amphibiousness,البرمائيّة
Amphibole,الأمفيبولات
Amphibology,التباس
Amphioxys,حادّ الطرفين
Amphitheater,المدرّج
Amphitheaters,المدرّجات
Amphitheatre,المدرّج
Amphora,قارورة، جرّة
Amphorae,قوارير، جرّات
Ample,كافي، متّسع، وافي، مُسْهَبْ
Ampleness,السّعة
Ampler,أكثر كفاية
Amplest,الأكثر كفاية
Amplification,التّكبير
Amplifications,التّكبير
Amplified,أسهب
Amplifier,مكبّر الصّوت
Amplifiers,مكبّرات الصّوت
Amplifies,يسهب
Amplify,أسهب
Amplifying,الإسهاب
Amplitude,مدى التّردّد
Amplitudes,مدى التّردّد
Amply,بوفرة
Ampm,صم
Ampoule,الحقنة
Ampoules,الحقن
Amps,الأمبير
Amputate,ابتر
Amputated,بتر
Amputates,يبتر
Amputating,البتر
Amputation,البتر
Amputations,البتر
Amputee,المعوّق
Amra,أمرا
Ams,إيه إم إس
Amsterdam,أمستردام
Amtrak,شركه أمتراك
Amuck,باهتياج
Amulet,التّميمة
Amulets,التّمائم
Amuse,سلّ
Amused,مستمتع
Amusedly,بسعادة
Amusement,المتعة
Amusements,الملاهي
Amuser,مُسلّ
Amusers,مُسلّون
Amuses,يسلّي
Amusing,التّسلية
Amusingly,بطريقة مسلّية
Amusingness,التّسلية
Amusive,أمسايف
Amy,أمي
Amygdaloid,الصّخر البركانيّ
Amyl,أميلي
An,أداة تعريف
Ana,النّوادر
Anabaptist,قائل بتجديد عماد
Anabaptists,قائلون بتجديد عماد
Anabel,أنابل
Anachronism,الأثر
Anachronisms,الآثار
Anachronistic,منطوي على مفارقة تاريخيّة
Anachronistical,غير مناسب للعصر
Anachronistically,بصورة غير مناسبة للعصر
Anaconda,أفعى الأناكوندا
Anacondas,أفاعي الأناكوندا
Anadromous,الهجرة من الماء المالح للعذب لوضع البيض
Anaemia,الأنيميا
Anaerobic,لا هوائيّ
Anaesthesia,التّخدير
Anaglyph,النّقش
Anagram,الجناس النّاقص
Anagrams,الجناس النّاقصة
Anaheim,أناهييم
Anal,شرجيّ
Analeptic,مقوّي
Analgesia,فقدان الإحساس
Analgesic,المسكّن
Anally,شرجيًّا
Analog,النّظير
Analog-digital,النّظير رقميّ
Analog-to-digital,النّظير إلى رقميّ
Analogical,قياسيّ
Analogically,بشكل قياسي
Analogies,المقارنات
Analogous,متشابه
Analogously,بصورة متناظرة
Analogousness,التناظريّة
Analogs,النّظير
Analogue,النّظير
Analogy,المقارنة
Analyse,حلّل
Analyser,المحلّل
Analyses,التّحليلات
Analysis,التّحليل
Analyst,المحلّل
Analysts,المحلّلون
Analytic,تحليليّ
Analytical,تحليليّ
Analytically,بشكل تحليليّ
Analyticities,خواصّ تحليليّة
Analyticity,خاصّيّة تحليليّة
Analytics,التّحليل المنطقيّ
Analyzable,قابل للتّحليل
Analyze,حلّل
Analyzed,حلّل
Analyzer,المحلّل
Analyzers,المحلّلون
Analyzes,يحلّل
Analyzing,التّحليل
Anamorphic,صورة بصريّة مشوّهة
Anaphora,الجناس
Anaphoric,متعلّق بالجناس
Anaphorically,باستخدام الجناس
Anaplasmosis,أنابلازموسيس
Anarch,الفوضويّ
Anarchic,فوضويّ
Anarchical,فوضويّ
Anarchically,على نحو فوضوي
Anarchies,الفوضويّ
Anarchist,الفوضويّ
Anarchistic,فوضويّ
Anarchists,الفوضويّون
Anarchy,الفوضويّة
Anarctica,أناركتيكا
Anastasia,أناستاسيا
Anastigmat,العدسة
Anastigmatic,مصحّح
Anastomoses,الوصلات
Anastomosis,التحام
Anastomotic,توصيلي
Anathema,اللّعنة
Anathematize,العن
Anathematized,لعن
Anathematizes,يلعن
Anathematizing,اللّعن
Anatole,أناتول
Anatomic,تشريحيّ
Anatomical,تشريحيّ
Anatomically,تشريحيًّا
Anatomicals,تشريحيّات
Anatomies,البنى
Anatomist,عالم التّشريح
Anatomize,شرّح
Anatomized,شرّح
Anatomizes,يشرّح
Anatomizing,التّشريح
Anatomy,التّشريح
Ancestor,الجدّ
Ancestors,الأجداد
Ancestory,الجدوديّة
Ancestral,سلفيّ
Ancestrally,بشكل سلالي
Ancestress,السّلف
Ancestresses,الأسلاف
Ancestries,الأصول
Ancestry,الأصل
Anchor,المرساة
Anchorage,أنكريج
Anchorages,المراسي
Anchored,رسا
Anchoretism,حياة العزلة
Anchoring,الرّسو
Anchorite,النّاسك
Anchors,المراسٍ
Anchovies,الأنشوفة
Anchovy,الأنشوفة
Ancient,قديم
Anciently,قديمًا
Ancientness,القدم
Ancients,القدماء
Ancillaries,المساعدون
Ancillary,مساعد
Ancipital,ذو حافتين، ذو رأسين
And,و
Andean,إنديزي
Anded,جمع منطقيّا، استخدام المعامل &amp; مع المتغيّرات
Anders,أندرس
Andersen,أندرسن
Anderson,أندرسون
Andes,أنديز
Andesine,أنديساين
Andesite,أنديسايت
Anding,جمع منطقيّا، استخدام المعامل &amp; مع المتغيّرات
Andiron,المسند
Andorra,أندورا
Andover,أندوفر
Andre,أندريه
Andrea,أندريه
Andrei,أندريي
Andrew,أندرو
Andrews,أندروز
Androgenic,منشّط الذّكورة
Androgens,منشّطات الذّكورة
Androgynous,مخنّث
Android,الرّوبوت
Andromache,أندروماش
Andromeda,آندروميدا
Ands,يستخدم المعامل AND
Andy,أندي
Anecdotal,قصصيّ
Anecdotally,بصورة قصصيّة
Anecdote,النّادرة
Anecdotes,النّادرات
Anecdotic,قصصي
Anecdotist,القاصّ
Anecdotists,القصّاصون
Anechoic,لا صدويّ، لا يحتوي أو ينتج عنه صدى
Anemia,الأنيميا
Anemias,الأنيميا
Anemic,مصاب الأنيميا
Anemically,بصورة أنيمية
Anemics,مصابوا الأنيميا
Anemometer,مقياس شدّة الرّيح
Anemometers,مقاييس شدّة الرّيح
Anemometry,قياس شدّة ريح
Anemone,الانيمن
Anemones,الانيمن
Anent,عن
Anesthesia,التّخدير
Anesthesias,التّخدير
Anesthesiologist,طبيب التّخدير
Anesthesiology,مبحث التّخدير
Anesthetic,المخدّر
Anesthetically,بالتّخدير
Anesthetics,المخدّرات
Anesthetist,إخصائيّ التّخدير
Anesthetists,إخصائيّون التّخدير
Anesthetization,التّخدير
Anesthetize,خدّر
Anesthetized,خدّر
Anesthetizer,مختصّ التخدير
Anesthetizers,مختصّوا التخدير
Anesthetizes,يخدّر
Anesthetizing,التّخدير
Anew,من جديد
Angel,الملاك
Angela,أنجيلا
Angeleno,أنجيلينو
Angelenos,أنجيلينوس
Angeles,أنجيليز
Angelfish,السّمك
Angelic,ملائكيّ
Angelica,الأنجليك
Angelical,ملائكيّ
Angelically,بملائكيّة
Angelina,أنجيلينا
Angeline,أنجيلاين
Angelo,أنجلو
Angels,الملائكة
Anger,الغضب
Angered,أغضب
Angering,الإغضاب
Angers,الغضب
Angie,أنجي
Angiography,تصوير تتبعي بالأشعة السينية
Angiosperm,نبات ملقّح ذاتيًّا
Angle,الزّاوية
Angled,مزّوىّ
Angler,الصّيّاد
Anglers,الصّيّادون
Angles,الزّوايا
Anglia,أنجليا
Anglican,الأنجليكي
Anglicanism,الأنجليكية
Anglicans,الأنجليكي
Angling,الصّيد
Anglo,الأمريكيّ
Anglophilia,الحبّ الإنجليزيّة
Anglophobia,الكراهية الإنجليزيّة
Angola,أنجولا
Angora,الأنجورا
Angrier,أكثر غضبًا
Angriest,الأكثر غضبًا
Angrily,بغضب
Angriness,الغضب
Angry,غاضب
Angst,القلق
Angstrom,أنجستروم
Angstroms,أنجسترومز
Anguilla,أنجولا
Anguish,العذاب
Anguished,تألّم
Anguishes,العذابات
Angular,بارز العظام
Angularity,خاصّيّة وجود زوايا
Angularly,زاويا
Angularness,كمّ خاصية وجود زاويا
Angus,أنجس
Anharmonic,غير متناغم
Anheuser,أنهيسر
Anhydride,الأندريد
Anhydrite,الأنهيدريت
Anhydrous,جافّ
Anhydrously,بشكل لامائي
Ani,أني
Aniline,الأنيلين
Animadversion,الملاحظة الانتقاديّة
Animadversions,الملاحظات الانتقاديّة
Animadvert,انتقد
Animadverted,انتقد
Animadverts,ينتقد
Animal,الحيوان
Animalcule,الحيوان الصّغير
Animalcules,الحيوانات الصّغيرة
Animalism,الحيوانيّة
Animalistic,حيوانيّ
Animality,السّمات الحيوانيّة
Animally,جسديًّا
Animalness,كمّ السّمات الحيوانيّة
Animals,الحيوانات
Animate,حيّ
Animated,متحمّس
Animatedly,بحماس
Animately,بشكل متحرّك
Animateness,الحركيّة
Animates,ينعش
Animating,الإنعاش
Animation,الرّسوم المتحرّكة
Animations,الرّسوم المتحرّكة
Animator,إخصائيّ رسوم متحرّكة
Animators,إخصائيّون رسوم متحرّكة
Anime,انيما
Animism,الرّوحانيّة
Animize,يعطي خواصّ الحياة
Animized,أعطى خواصّ الحياة
Animosity,الكراهية
Animus,الكراهية
Anion,الأنيون
Anionic,أنيونيّ
Anionics,أنيونيّات
Anions,الأنيون
Anise,الينسون
Aniseed,اليانسون
Anisotropic,متباين الخواصّ
Anisotropies,تباينات الخواصّ
Anisotropy,تباين الخواصّ
Anita,أنيتا
Ankara,أنقرة
Ankle,الكاحل
Anklebone,عظم الكاحل
Ankles,الكواحل
Anklet,الخلخال
Anlog,لا سجلّي
Ann,الشّبكة العربيّة الإخباريّة
Anna,الآنة
Annal,أنال
Annale,أنيل
Annalen,أنالين
Annalist,المؤرّخ
Annals,السّجلّات
Annapolis,أنابوليس
Anne,أن
Anneal,يصلّب
Annealed,صلَّب
Annealer,مصلِّب
Annealers,مصلّبون
Annealing,الصلّب
Anneals,صلّب
Annelids,الدّيدان الحلقيّة
Annette,أنات
Annex,الملحق
Annexation,الضّمّ
Annexations,الضّمّ
Annexed,استولى
Annexes,الملاحق
Annexing,الاستيلاء
Annie,أني
Annihilate,اهلك
Annihilated,أهلك
Annihilates,يهلك
Annihilating,الإهلاك
Annihilation,الإبادة
Annihilative,مدمّر
Annihilator,المدمّر
Anniversaries,الأعياد
Anniversary,العيد
Annotate,علّق
Annotated,علّق
Annotates,يعلّق
Annotating,التّعليق
Annotation,التّعليق
Annotations,التّعليقات
Annotative,تعليقيّ
Annotator,معلّق الحواشي
Announce,أعلن
Announced,أعلن
Announcement,الإعلان
Announcements,الإعلانات
Announcer,المذيع
Announcers,المذيعون
Announces,يعلن
Announcing,الإعلان
Annoy,ضايق
Annoyance,الضّيق
Annoyances,مصادر الإزعاج
Annoyed,متضايق
Annoyer,مزعج
Annoyers,مزعجون
Annoying,مزعج
Annoyingly,بشكل مزعج
Annoys,يضايق
Annual,النّبات الحوليّ
Annualized,محسوب سنويًّا
Annually,سنويًّا
Annuals,النّباتات الحوليّة
Annuitant,السناهي
Annuities,المعاشات
Annuity,المعاش
Annul,يبطل
Annular,حلقيّ
Annularly,حلقيا
Annuler,مبطل
Annuli,الأعمدة الحلقية
Annullable,قابل للإبطال
Annulled,أُبْطِل
Annulling,إبطال
Annulment,الإبطال
Annulments,الإبطالات
Annuls,يُبطل
Annulus,الحلقة
Annum,العام
Annunciate,أعلن
Annunciated,أعلن
Annunciates,يعلن
Annunciating,الإعلان
Annunciation,بشارة جبريل
Annunciations,بشائر جبريل
Annunciator,المذيع
Annunciators,المذيعون
Anode,قطب الموجب
Anodes,أقطاب الموجب
Anodic,أنوديك
Anodically,متعلقا بالقطب الموجب
Anodize,اطل بأكسيد الألومنيوم
Anodized,طلى بأكسيد الألومنيوم
Anodizes,يطلي بأكسيد الألومنيوم
Anodizing,طلاء بأكسيد الألومنيوم
Anoint,ادهن
Anointed,دهن
Anointer,مُدهِن
Anointing,الدّهن
Anointment,المسح
Anoints,يدهن
Anomalies,العيوب
Anomalistic,غير قياسيّ
Anomalous,شاذّ
Anomalously,بصورة شاذّة
Anomalousness,الشذوذ
Anomalousnesses,الشذوذ
Anomaly,الشواذّ
Anomic,ذو شواذّ
Anomie,غير أخلاقي اجتماعيّاً
Anon,حالاً
Anonymities,إخفاء الهويّة
Anonymity,إخفاء الهويّة
Anonymous,مجهول الاسم
Anonymously,بدون اسم
Anonymousness,اللاهويّة
Anorak,المعطف واقٍ
Anorexia,الفقدان الشّهيّة
Anorthic,ذي محاور منحرفة
Anorthite,أنورثيت
Anorthosite,أنورثوسيت
Another,آخر
Ans,أنز
Anselm,أنسيلم
Anselmo,أنسيلمو
Anson,أنسون
Answer,الإجابة
Answerable,مسئول
Answerback,ردّ على بثّ لاسلكي
Answered,ردّ
Answerer,مجاوب
Answerers,مجاوبون
Answering,الرّدّ
Answers,الإجابات
Ant,النّملة
Antacid,مضادّ للحموضة
Antaeus,أنتايِس
Antagonism,العداء
Antagonisms,العداءات
Antagonist,الخصم
Antagonistic,عدوانيّ
Antagonistical,عدوانيّ
Antagonistically,بعدوانيّة
Antagonists,الخصوم
Antagonize,عادِ
Antagonized,عادَى
Antagonizer,معادي
Antagonizers,معادون
Antagonizes,يعادي
Antagonizing,العداوة
Antarctic,القطب الجنوبيّ
Antarctica,القارة القطبية الجنوبية
Antares,قلب العقرب
Ante,ادفع
Anteater,آكل النّمل
Anteaters,أكلة النّمل
Antebellum,ما قبل الحرب
Antecede,اسبق
Anteceded,سبق
Antecedence,الأسبقيّة
Antecedent,الأوّل
Antecedently,بشكل سابق
Antecedents,الأوّل
Antecedes,يسبق
Anteceding,السّبق
Antechamber,الملحق
Anted,دفع
Antedate,اسبق
Antedated,سبق
Antedates,يسبق
Antedating,السّبق
Antediluvian,عتيق
Anteing,الدّفع
Antelope,الظّبي
Antelopes,الظّباء
Antenna,القرن
Antennae,الهوائيات
Antennas,القرون
Anterior,أماميّ
Anteriorly,بشكل سابق
Anteriors,الأجزاء الأمامية
Anteroom,حجرة الانتظار
Anterooms,حجرات الانتظار
Antes,يدفع
Anthem,النّشيد
Anthems,الأناشيد
Anther,العضو الذّكريّ
Anthill,عشّ النّمل
Anthologies,المقتطفات الأدبيّة
Anthologist,الباحث
Anthology,المقتطفات الأدبيّة
Anthony,أنتوني
Anthracene,أنثراسين
Anthracite,أنثراسايت
Anthracnose,أنثراكنوز - مرض اصفرار النبات
Anthropogenic,دراسة أصل الأحياء
Anthropoid,إنسان الغابة
Anthropological,أنثربولوجيّ
Anthropologically,أنثروبولوجيًّا
Anthropologies,الأنثربولوجيا
Anthropologist,عالم الأنثروبولوجيا
Anthropologists,علماء الأنثروبولوجيا
Anthropology,الأنثربولوجيا
Anthropometric,متعلّق بالأنثروبومتريّة
Anthropometrics,علم قياسات الجسم البشري
Anthropometry,الأنثروبومتريّة
Anthropomorphic,مجسّم
Anthropomorphically,باستخدام المجسّمات
Anthropomorphism,الآدميّة
Anti,مضادّ
Anti-Alias,مضادّ للاسم المستعار
Anti-Aliasing,مضادّ للألياسينج
Anti-alien,مضادّ للأجنبيّ
Anti-demonstration,مضادّ للمظاهرة
