id,term,definition,source_file
747,executive editor,رئيس التحرير المنفدذ,معجم المصطلحات الاعلامية
748,executive producer,منفذ منتج,معجم المصطلحات الاعلامية
749,exemption of duties,إعفاء من,معجم المصطلحات الاعلامية
750,exhibited books,كتب معروضة,معجم المصطلحات الاعلامية
751,exhibition rights PA aa,حقوق,معجم المصطلحات الاعلامية
752,expanded edition date,طبعة,معجم المصطلحات الاعلامية
753,experimental wet,نامج ارنامج تجرد,معجم المصطلحات الاعلامية
754,extension of Ste,التأليف حقوق,معجم المصطلحات الاعلامية
755,exterior filming;,ير,معجم المصطلحات الاعلامية
756,extra copies Cae,نسي إضافية الأصل) (ج. وهي من,معجم المصطلحات الاعلامية
757,extracts; excerpts,مختارات,معجم المصطلحات الاعلامية
758,extras Fav,(لصحيفة أو,معجم المصطلحات الاعلامية
759,extreme opinion he,رأي,معجم المصطلحات الاعلامية
760,eye catcher,لافت للنظر,معجم المصطلحات الاعلامية
761,eye contact,درام النُظر كاميرة التلفزة),معجم المصطلحات الاعلامية
762,eye wash sat,الدماع حشر,معجم المصطلحات الاعلامية
763,eyewitness OW,شاهد,معجم المصطلحات الاعلامية
764,eyew ewitness account,قرير تقرير شاهد شاهد عيان,معجم المصطلحات الاعلامية
765,frequency,التردد تعديل,معجم المصطلحات الاعلامية
766,fabricated account Ba,تقرير,معجم المصطلحات الاعلامية
767,face time ware,ظهور ظهرر شخص على شاشة في فى فلم فلم أو أو برنامج) (مذة شد برنا ز,معجم المصطلحات الاعلامية
768,face-to-face ry,لوجه,معجم المصطلحات الاعلامية
769,edition poli,طباعة,معجم المصطلحات الاعلامية
770,facsimile,تقل ناسوخي,معجم المصطلحات الاعلامية
771,fact sheet,ووقة الاسترشاد,معجم المصطلحات الاعلامية
772,factual report,تقرير وقائع,معجم المصطلحات الاعلامية
773,fade over,توالي التلاشي والظهور,معجم المصطلحات الاعلامية
774,fade-out ps,خفوت الصوت تدريجيا (اختفاء معالم معالم الصورة بالتدر بالتدريج) الصورة,معجم المصطلحات الاعلامية
775,fader,أو حهاز لتخفيض النور إضعاف حدة أو زر أو الصوت,معجم المصطلحات الاعلامية
776,false se inf information,خبر,معجم المصطلحات الاعلامية
777,fair comment,نقد نزيه,معجم المصطلحات الاعلامية
778,fair copy,نظيفة نسخخة,معجم المصطلحات الاعلامية
779,fair use,ذكر المصدر واجب (ن الاقتباس؛ والاقتباس جائز؛ إذا كان اقتباسا مولف من في حدود قانون حماية حقوق,معجم المصطلحات الاعلامية
780,fake interview,مقابلة ملفقة,معجم المصطلحات الاعلامية
781,false advertising,إعلان كاذب ش,معجم المصطلحات الاعلامية
782,family film,للم للأسرة ش,معجم المصطلحات الاعلامية
783,family magazine ale,الأسرة,معجم المصطلحات الاعلامية
784,family viewing,برنامج للأسرة (في العلفزة),معجم المصطلحات الاعلامية
785,fax,"ناسوخ, مرسال (فاكس)",معجم المصطلحات الاعلامية
786,feature article;,"مقال أساسي, مقال بارزء استطلاع كير",معجم المصطلحات الاعلامية
787,feature film; full-,فلم رئيسي نْ قاعة سينما تعرض طويل يل تعرض قصير) ينما فلم,معجم المصطلحات الاعلامية
788,feature presentation,فلم رئيسي,معجم المصطلحات الاعلامية
789,feature work,مقال هتميّز» تحرير مقالات متخصصة,معجم المصطلحات الاعلامية
790,federal register,جريدة(ال...)الرسمية,معجم المصطلحات الاعلامية
791,feedback,ارتداد,معجم المصطلحات الاعلامية
792,feuilleton,مسلسّل,معجم المصطلحات الاعلامية
793,fiction; work of,عمل روائي,معجم المصطلحات الاعلامية
794,fiction film old,روائي,معجم المصطلحات الاعلامية
795,field broadcast,استطلاع ميداي,معجم المصطلحات الاعلامية
796,field frequency,الترذدات,معجم المصطلحات الاعلامية
797,field of view Ups,مجال,معجم المصطلحات الاعلامية
798,field of vision aul,مال,معجم المصطلحات الاعلامية
799,field test,اختبار هيداني,معجم المصطلحات الاعلامية
800,figure,رجيه زج. وجهاء),معجم المصطلحات الاعلامية
801,file,ملف,معجم المصطلحات الاعلامية
802,story(to) dy ido,ملف),معجم المصطلحات الاعلامية
803,file film gol ub,وشائق,معجم المصطلحات الاعلامية
804,filler,مقال تكميلي,معجم المصطلحات الاعلامية
805,film; movie,فلم,معجم المصطلحات الاعلامية
806,film,شريط خام(للكاميرة),معجم المصطلحات الاعلامية
807,film archives,محفوظات سينمائية,معجم المصطلحات الاعلامية
808,film art director (Sy,الفئي للفلم مدير عل,معجم المصطلحات الاعلامية
809,"film card ay,",مخرج,معجم المصطلحات الاعلامية
810,film editor,مُؤَلف فنا ووه سينمائي,معجم المصطلحات الاعلامية
811,film for adults,للكبار,معجم المصطلحات الاعلامية
812,film gate (of,نافءة لغرض,معجم المصطلحات الاعلامية
813,film goer: movie goer,السينما هاوي,معجم المصطلحات الاعلامية
814,film industry,صيناعة السيتما,معجم المصطلحات الاعلامية
815,film library,مكتبة الأفلام السينمائية),معجم المصطلحات الاعلامية
816,film magazine Ue,السيتما,معجم المصطلحات الاعلامية
817,film music pb,موسيقى,معجم المصطلحات الاعلامية
818,film preview,يلم إعلان,معجم المصطلحات الاعلامية
819,film production,الأفلام إنتاج,معجم المصطلحات الاعلامية
820,film review,الفلم تقويم (عرض ومراحعة نقدية),معجم المصطلحات الاعلامية
821,film reviewer; film,اقد إعلاي,معجم المصطلحات الاعلامية
822,film rights,حقوق الإخراج السينمائي,معجم المصطلحات الاعلامية
823,film star ve of,سينمائي,معجم المصطلحات الاعلامية
824,film technician,تقي الفلم,معجم المصطلحات الاعلامية
825,film trick,خدعة سيئمائية,معجم المصطلحات الاعلامية
826,film unit;,فريق التصوير عل,معجم المصطلحات الاعلامية
827,filming; schooting,تصوير,معجم المصطلحات الاعلامية
828,fina! edition,الأخيرة,معجم المصطلحات الاعلامية
829,financial news,أخبار المال بر,معجم المصطلحات الاعلامية
830,financial paper,أخبار صحيفة المال,معجم المصطلحات الاعلامية
831,fine arts,فنون نوت (ال...)الجميلة,معجم المصطلحات الاعلامية
832,fine cut,توليف ديق توليف,معجم المصطلحات الاعلامية
833,fine focus pall,الصورة منظار الكاميرة ترضيح عبر عدسات,معجم المصطلحات الاعلامية
834,first edition,طبعة(ال...) الأولي,معجم المصطلحات الاعلامية
835,first generation film,الجيل الأرل,معجم المصطلحات الاعلامية
836,first run; first,عرض(ال...) الأول,معجم المصطلحات الاعلامية
837,first showing rie te,أوّل أوّل,معجم المصطلحات الاعلامية
838,first-day story Sle,اليوم الأول الأول أحزاء) (الجرء مقال في من,معجم المصطلحات الاعلامية
839,firsthand news,المصدر المباشر خبر,معجم المصطلحات الاعلامية
840,five w’s,أسئلة (ال...)القمسة (مَنَ/ ماء لماذا),معجم المصطلحات الاعلامية
841,flag,شعار صحيفة,معجم المصطلحات الاعلامية
842,flagging (TV),توج الصّورة,معجم المصطلحات الاعلامية
843,flash frame,صورة بع بيضاء,معجم المصطلحات الاعلامية
844,flashback,إلى الوراء أو أو أحداث) رحوع لاستعاذة صور مواقف,معجم المصطلحات الاعلامية
845,flat colours,ألوان هادئة,معجم المصطلحات الاعلامية
846,flat rate,اتفاقي سعر,معجم المصطلحات الاعلامية
847,flight,فترة فترة إعلانية: إشهارية,معجم المصطلحات الاعلامية
848,ight saturation Bed,تركيز تممّع الأقصى من الإعلانات في فترة محدودة),معجم المصطلحات الاعلامية
849,flip over,قلب الصورة التلفزة؛ تُقلب الصورة وكأئها تُطوى صفحة عند لقطة إلى من,معجم المصطلحات الاعلامية
850,copublication,نشر مشترك,معجم المصطلحات الاعلامية
851,cut-in,"عنوان فاصل (صحافة مكتوبة), فاصل فاصل إشهاري(إذاعة تلفرة)",معجم المصطلحات الاعلامية
852,editorial,افتتاحية,معجم المصطلحات الاعلامية
853,film recording,الأفلام,معجم المصطلحات الاعلامية
854,film script,كنابة تقطيع المشاهد (سيناريو) عراض سيتمائي,معجم المصطلحات الاعلامية
855,pos GUL,و ال نولع: ا,معجم المصطلحات الاعلامية
856,"Sas, Bees",رتم ا ا,معجم المصطلحات الاعلامية
857,EES uA BA wos ay,ا,معجم المصطلحات الاعلامية
858,Bee er rs Se,ا,معجم المصطلحات الاعلامية
859,Sead gs,فا,معجم المصطلحات الاعلامية
860,ASN te,لسري حي ا ا,معجم المصطلحات الاعلامية
861,"OP WO, Ge",ل ظ,معجم المصطلحات الاعلامية
862,pel,يعمل مستقلا أي حريدة ويتقاضى بالصفحة) عن,معجم المصطلحات الاعلامية
863,aye,م سيا,معجم المصطلحات الاعلامية
864,det,(لقطه عمودية إلى أسفل) من,معجم المصطلحات الاعلامية
865,Ol,بارز,معجم المصطلحات الاعلامية
866,CH,(شخص واسع,معجم المصطلحات الاعلامية
867,marque d'éditeur,علامة الناشر,معجم المصطلحات الاعلامية
868,interviewee,ست,معجم المصطلحات الاعلامية
869,(eld dolls,غلب الأخبار,معجم المصطلحات الاعلامية
870,laboratory work,أعمال مخخبرية,معجم المصطلحات الاعلامية
871,circulation,توزيع(ال...) الكامل,معجم المصطلحات الاعلامية
872,guest writer,ش كاتب ضيف,معجم المصطلحات الاعلامية
873,Issue(copy);,طبعة,معجم المصطلحات الاعلامية
874,"ALY, KU alu,",و,معجم المصطلحات الاعلامية
875,oh eval,ت,معجم المصطلحات الاعلامية
876,ZT REZ RT INST Sc,"١, اح لواح",معجم المصطلحات الاعلامية
877,pats Sat,مي مسحي,معجم المصطلحات الاعلامية
878,genre,ميف,معجم المصطلحات الاعلامية
879,advertisin,تقوم جماعة المعلتين لصالح أو خدمة) به من مُنتج,معجم المصطلحات الاعلامية
880,cinema ci,تفاعلية سينما,معجم المصطلحات الاعلامية
881,azst,(بحلة أنيقة تطبع على ورق صفيل) غالبا,معجم المصطلحات الاعلامية
882,number (1.S.S.N.),المطبوعات .الذولي المعياري,معجم المصطلحات الاعلامية
883,mug,صورة هوية,معجم المصطلحات الاعلامية
884,on advertisin,الو نات إعلانات ظائة الوظائف,معجم المصطلحات الاعلامية
885,et),ساعة عة في اليرم) سلسلة,معجم المصطلحات الاعلامية
886,AO Xe Srv Shp af,ا,معجم المصطلحات الاعلامية
887,images inserees; scene de raccor,مع واصيل,معجم المصطلحات الاعلامية
888,humourous paper,هزلية صحيفة,معجم المصطلحات الاعلامية
889,generic term,العلامة اسم (هر علامة اتتشرت انتشارا واسعاء فغدت,معجم المصطلحات الاعلامية
890,impression,التأثير المارَّةَ أو أو لافتة احتمال الشاهدين بن إعلانا ل فرصة لحدوث الأثر المطلرب في نفوسهم),معجم المصطلحات الاعلامية
891,"AL, Lg FORMAL FEO OE AE,",م ا,معجم المصطلحات الاعلامية
892,folklore,فلكلور (مأئورات وتراث شعي),معجم المصطلحات الاعلامية
893,float time,فترة فراغ,معجم المصطلحات الاعلامية
894,flood,ضوء غامر فيض الضوء الساطع يغطي مساحة عريضة) من,معجم المصطلحات الاعلامية
895,flood light,إضاءة غامرة إضاءة صنعيّة على بحو يفضي إلى إنارة المشاهد يراد تصويرها متناسقة),معجم المصطلحات الاعلامية
896,floor manager (U.S.),مدير,معجم المصطلحات الاعلامية
897,flow chart,برنامج إعلامي,معجم المصطلحات الاعلامية
898,flow of information,تدقق المعلومات,معجم المصطلحات الاعلامية
899,flutter,بريق تغاوت في حلاء الصورة على شاشة التلفاز),معجم المصطلحات الاعلامية
900,fly-boy; printer's,المؤسسة ساعي,معجم المصطلحات الاعلامية
901,flyer; yer,أشخماص عليها قبل السوق يعرض عرضه في لإبداء الرأء فيه),معجم المصطلحات الاعلامية
902,focused interview,مقابلة معمّقة,معجم المصطلحات الاعلامية
903,folder sh’,(منشور إعلاي مطوي),معجم المصطلحات الاعلامية
904,folio,رقم الصفحة,معجم المصطلحات الاعلامية
905,foot of page,أسفل الصفحة,معجم المصطلحات الاعلامية
906,footage,طول قصير أو طويل),معجم المصطلحات الاعلامية
907,footnote,هوامش,معجم المصطلحات الاعلامية
908,forbidden books,كتب محظورة,معجم المصطلحات الاعلامية
909,forecast (dt),توقعات,معجم المصطلحات الاعلامية
910,foreground,المنظر المراد الخشبة),معجم المصطلحات الاعلامية
911,foreign TIEN,مُرَاميل هن (من دولة أحتبية»,معجم المصطلحات الاعلامية
912,foreign desk,مكتب الشؤون,معجم المصطلحات الاعلامية
913,foreign editor,محرّر الشؤون الخارجية,معجم المصطلحات الاعلامية
914,foreign film,فلم أجبي,معجم المصطلحات الاعلامية
915,foreign language,حقوق الترجمة من موق حقرق ترجمة مؤلف لنى من لخ لغة إلى,معجم المصطلحات الاعلامية
916,foreign version,أجنبية لسخخحة,معجم المصطلحات الاعلامية
917,foreword,(تقدم يستهل به,معجم المصطلحات الاعلامية
918,format,مط شكل الكتاب بحسب قياس الصفحة فيه أنواع:,معجم المصطلحات الاعلامية
919,fortnightly,نصف شهري,معجم المصطلحات الاعلامية
920,fourth estate,(ال...) الرابعة (وهي الصحاتة),معجم المصطلحات الاعلامية
921,frame,إطار,معجم المصطلحات الاعلامية
922,frame counter; ate,قلب الصور,معجم المصطلحات الاعلامية
923,frame size boas,قطع الصورة,معجم المصطلحات الاعلامية
924,frames per second,الصُور في الثانية عدد,معجم المصطلحات الاعلامية
925,framing,تأطير تقطبع,معجم المصطلحات الاعلامية
926,franchise,"إعفاء,",معجم المصطلحات الاعلامية
927,free circulation,مجانية نشرة,معجم المصطلحات الاعلامية
928,free flow of,حرية تداول المعلومات,معجم المصطلحات الاعلامية
929,free insertion,إدراج (في مال الإعلان),معجم المصطلحات الاعلامية
930,free paper Hilt,صحرفة,معجم المصطلحات الاعلامية
931,free sample UAE,عينة ملسي إشهاري,معجم المصطلحات الاعلامية
932,free write up,استطلاع إعلاني,معجم المصطلحات الاعلامية
933,freedom of the press,حريّة الصحافة عل,معجم المصطلحات الاعلامية
934,freelance,غير ملتزم صحفي,معجم المصطلحات الاعلامية
935,freeze frame,وقوف على صورة,معجم المصطلحات الاعلامية
936,frequency of issue; pall,و تبرة,معجم المصطلحات الاعلامية
937,front cover,الغلاف,معجم المصطلحات الاعلامية
938,front page; page; title,ف العناوين ب صفحة (ال...)الأول,معجم المصطلحات الاعلامية
939,front view,أمامي منظر,معجم المصطلحات الاعلامية
940,full showing,إعلان متواصل (يتكيّر ظهورهُ ني كلل طبعة من طبعات اللحريدة في اليوم,معجم المصطلحات الاعلامية
941,full house (cinema) Moe,قاعة (ملأى حتى لم ببق فيها مكان,معجم المصطلحات الاعلامية
942,full licence nice,إجازة,معجم المصطلحات الاعلامية
943,fult scale,بالحجم الطبيم,معجم المصطلحات الاعلامية
944,full shot,تقطة كاملة,معجم المصطلحات الاعلامية
945,full-page ad,إعلان صفحة كاملة,معجم المصطلحات الاعلامية
946,fulltimer,بث متميل,معجم المصطلحات الاعلامية
947,gaffer (film) by,تقيّ الكهرباء فلم) فكاهة (مرقف هزلي يعتمد على المفاحأة فيثير الضحك),معجم المصطلحات الاعلامية
948,gag writer,كاتب فكاهات,معجم المصطلحات الاعلامية
949,gain,زيادة,معجم المصطلحات الاعلامية
950,galiup poll,استطلاع آراء,معجم المصطلحات الاعلامية
951,gallup(to),استطلع الآراء الفعل الانكليزي مأخوذ أشهر أمريكية من اسم موسسة لاستطلاع,معجم المصطلحات الاعلامية
952,gameshow,ألعاب,معجم المصطلحات الاعلامية
953,gap,(فراغ في صفحة). فجوة,معجم المصطلحات الاعلامية
954,gate te,بوابة باب,معجم المصطلحات الاعلامية
955,gatefold,زائدة مَطويّة (ورقة تحريرية أو إشهارية كبير لتكون من ححم في,معجم المصطلحات الاعلامية
956,gatekeeper jou,الأخبار على فرزالأخخبار يسهر ونشر ما يتماشى المؤسسة مع أو ايديولوحيتها),معجم المصطلحات الاعلامية
957,gazette,صحرفة,معجم المصطلحات الاعلامية
958,general audience; HS,وال..) (هر المدمهور العام أو عامة النلس أو,معجم المصطلحات الاعلامية
959,general view,نظرة إجمالية,معجم المصطلحات الاعلامية
960,generic advertising gett,إعلان عن,معجم المصطلحات الاعلامية
961,geographic coverage,تغطية,معجم المصطلحات الاعلامية
962,ghost brand,علامة غير مسبجّلة علامة أو تسجيلها لدى مكتب غير معروفة يسبق الِلْكيّة التجارية والصناعية),معجم المصطلحات الاعلامية
963,ghostwriter,قلم مأجور,معجم المصطلحات الاعلامية
964,gift complimentary;,مهداة نسخحة,معجم المصطلحات الاعلامية
965,gift subscription Rar,أشعراك,معجم المصطلحات الاعلامية
966,give-away,إعلانية هدايا د,معجم المصطلحات الاعلامية
967,give-away leaflet,نشرة,معجم المصطلحات الاعلامية
968,give-away prizes,جوائز,معجم المصطلحات الاعلامية
969,global beam,تغطية كاملة يغطّيه الأقمارالاصطناعية الذي قمرمن تغطية,معجم المصطلحات الاعلامية
970,global village,قرية (ال..)العالمّة الارض ب بالكلمات العريصة وشرحهاء هو معجم أو بالمصطلح),معجم المصطلحات الاعلامية
971,glossy magazine ale,فاخرة,معجم المصطلحات الاعلامية
972,glossy paper,صقيل ورق,معجم المصطلحات الاعلامية
973,goa! setting,تحديد الأهداف,معجم المصطلحات الاعلامية
974,gold record God ee,أسطوانة10 الذهبية,معجم المصطلحات الاعلامية
975,golden time,ساعة (الفترة ال يكون فيها الاستماع أو المشاهدة في أقصى,معجم المصطلحات الاعلامية
976,gonzo journalism,صحافة انطباعيّة مزاحية موضرعية) غالبا,معجم المصطلحات الاعلامية
977,good broadcasing,إذاعي صوت (صالح للإذاعة),معجم المصطلحات الاعلامية
978,good for printing,مرافقة على,معجم المصطلحات الاعلامية
979,good name,سبعة ذ يوع المليت,معجم المصطلحات الاعلامية
980,gossip,قبل (ال...) والقال (ثرثرة أخبار الناس على سبيل التسلية»,معجم المصطلحات الاعلامية
981,gossip column,أخبار النا خبار الناس ناطق (ال,معجم المصطلحات الاعلامية
982,government,"الحكوهي (الشخص يتحدّث أو يصرّح باسم ويُطلق عليه أحيانا اسم ""مصدر مأذون”)",معجم المصطلحات الاعلامية
983,grace (subscriptions),مدّة الإمهال,معجم المصطلحات الاعلامية
984,grant; grant: aid,مالية مبحة: مساعدة في ميدان الإعلام» مساعدة ماليّة الذولة (هيء للصحافة),معجم المصطلحات الاعلامية
985,graph Bahr,بياي» رسم,معجم المصطلحات الاعلامية
986,graphic arts,فنون (ال...)التخطيطية,معجم المصطلحات الاعلامية
987,grass roots (coed!,شعبويّة,معجم المصطلحات الاعلامية
988,gravelogue,فلم سياحي,معجم المصطلحات الاعلامية
989,gross audience,مجموع المتابعين (عدد المستمعين والمشاهدين الذين تابعوا برنايجا أو إعلانا مرة أو أكثر),معجم المصطلحات الاعلامية
990,ground noise,خلفية ضوضاء,معجم المصطلحات الاعلامية
991,groundless report,أساس نخبر هلا,معجم المصطلحات الاعلامية
992,group advertising;,إعلان,معجم المصطلحات الاعلامية
993,group behaviour,سلوك الجماعة,معجم المصطلحات الاعلامية
994,group,تواصل,معجم المصطلحات الاعلامية
995,group interviewing,مقابلة جماعيّة,معجم المصطلحات الاعلامية
996,group leader,قائد الجماعة,معجم المصطلحات الاعلامية
997,group listening,بتماعي استماع,معجم المصطلحات الاعلامية
998,group papers,جموعة صحفية,معجم المصطلحات الاعلامية
999,group shot,لقطة جماعية,معجم المصطلحات الاعلامية
1000,guidebook,دليل,معجم المصطلحات الاعلامية
1001,guided interview,مقابلة موجهة,معجم المصطلحات الاعلامية
1002,guideline te,تعليمات خط السلوك,معجم المصطلحات الاعلامية
1003,gutter news wot,الفضائح,معجم المصطلحات الاعلامية
1004,gutter press,صحافة الفضائح,معجم المصطلحات الاعلامية
1005,half column,لصفل عمود,معجم المصطلحات الاعلامية
1006,half-page,صف صفحة,معجم المصطلحات الاعلامية
1007,handbill; handout,منشور,معجم المصطلحات الاعلامية
1008,handout journalism,صحافة مرتزقة زعمقوياة'0,معجم المصطلحات الاعلامية
1009,hanging sign,معلقة) ولو حة,معجم المصطلحات الاعلامية
1010,hansard (U.K.);,جريدة (ال...)الرسيية,معجم المصطلحات الاعلامية
1011,happening,واقعة,معجم المصطلحات الاعلامية
1012,hard advertising,"إعلان, إشهار",معجم المصطلحات الاعلامية
1013,hard copy,طبعة الحاسوب م (نسخة مطبوعة لنص صفف بالخاسوب),معجم المصطلحات الاعلامية
1014,hard hitting article,مقال مثير,معجم المصطلحات الاعلامية
1015,hard news,أخبار ثقيلة على أخبار (أحبار شديدة شديدة الوطأة الوطأة على النفس),معجم المصطلحات الاعلامية
1016,hardcover edition dab,مجلّدة,معجم المصطلحات الاعلامية
1017,hardware,معدّات إعلامية,معجم المصطلحات الاعلامية
1018,head ly,رئيسء راس,معجم المصطلحات الاعلامية
1019,head of column,رأس العمود,معجم المصطلحات الاعلامية
1020,head of page,رأس الصفحة,معجم المصطلحات الاعلامية
1021,head office; head,إدارة مركزية ومكنبها الأسا الإادارة المركزي,معجم المصطلحات الاعلامية
1022,head shot; shot,هويّة,معجم المصطلحات الاعلامية
1023,heading,"ستهلاك, (ركن)",معجم المصطلحات الاعلامية
1024,headline pe,(مانشيت) (هو العنوان الرئيسي الأول الذي يحتل مكان الصّدارة) عنارين بارزة,معجم المصطلحات الاعلامية
1025,headline writer ph,عناوين),معجم المصطلحات الاعلامية
1026,headpiece,وأس الصفحة ف أعلى الصحفة),معجم المصطلحات الاعلامية
1027,headroom,الشاشة (هو الفراغ الفاصل أعلى الشاشة ورأس الأخجبار في التلفزة؛ والذي يجب أن يحافظ عليه الكاميرة مدير الصورة),معجم المصطلحات الاعلامية
1028,hearing in camera,جلسة مفلقة,معجم المصطلحات الاعلامية
1029,hearing in public,جلسة عموميّة,معجم المصطلحات الاعلامية
1030,hearsay,شائعة,معجم المصطلحات الاعلامية
1031,heated debate,جدال,معجم المصطلحات الاعلامية
1032,herald,رصولء هتاد,معجم المصطلحات الاعلامية
1033,high angle shot Hb,لقطة,معجم المصطلحات الاعلامية
1034,high resolution,فائقة,معجم المصطلحات الاعلامية
1035,high-definition (TV) GU,تلفاز الوضووح,معجم المصطلحات الاعلامية
1036,high-key picture,صورة وضاءة,معجم المصطلحات الاعلامية
1037,highlight,حدث بارز,معجم المصطلحات الاعلامية
1038,cinematography high-speed call,سريعة (في التصوير السينمائي),معجم المصطلحات الاعلامية
1039,hit movie; vidéo,فلمء تسجيل هرئي (أغنية ني ذورة,معجم المصطلحات الاعلامية
1040,hoarding,لوحة إعلانيّة,معجم المصطلحات الاعلامية
1041,hoarding site,(مكان لإلصاق الإعلانات),معجم المصطلحات الاعلامية
1042,hoax,أكذوبة,معجم المصطلحات الاعلامية
1043,home edition ule,طبعة,معجم المصطلحات الاعلامية
1044,home ile,أخبار,معجم المصطلحات الاعلامية
1045,home video maker,هاوي التسجيل (فديو),معجم المصطلحات الاعلامية
1046,horror (film),فلم رعب,معجم المصطلحات الاعلامية
1047,hotline Ser,"خط ساخين, مباشرء الاسعال",معجم المصطلحات الاعلامية
1048,hot media,وسيلة إعلان ساءعنة,معجم المصطلحات الاعلامية
1049,hot news Aste,أخبار,معجم المصطلحات الاعلامية
1050,hot number wer,عدد,معجم المصطلحات الاعلامية
1051,hot release,حديثاً صدر (آخبر إصدار),معجم المصطلحات الاعلامية
1052,house journal,المؤمسة جريدة,معجم المصطلحات الاعلامية
1053,house style,أسلوب المؤسسة,معجم المصطلحات الاعلامية
1054,identification,تعريف (اسم أو صورة أو علامة للتعريف بكاتب,معجم المصطلحات الاعلامية
1055,idlot sheet; copy,بطافة تلكير,معجم المصطلحات الاعلامية
1056,Idoor advertising,إعلان داخخلي القومية (إعلان في الملاعب والبئايات,معجم المصطلحات الاعلامية
1057,illicit advertising,إعلان غير مشووع,معجم المصطلحات الاعلامية
1058,filicit publication,نشرة غير مشروعة,معجم المصطلحات الاعلامية
1059,ilt-informed,المعلومات ش (مصدر,معجم المصطلحات الاعلامية
1060,Hluminated sign iy»,إبضاحيّة صورة,معجم المصطلحات الاعلامية
1061,Image,صورة,معجم المصطلحات الاعلامية
1062,cue (TV),الاستعجال إشارة أو الأخبار إل وصول علامة ضولية صوئية تبه مقدم ذي أمية كبيرة وعاحلة),معجم المصطلحات الاعلامية
1063,Immoral ack,بالآداب العامة 5لا,معجم المصطلحات الاعلامية
1064,impact method,الأثر دراسة (دراسة وقع المنطابات أو الإعلانات أو المقالات على ابلمهور),معجم المصطلحات الاعلامية
1065,impressario,(وكيل فرقة,معجم المصطلحات الاعلامية
1066,impression,اتطباع,معجم المصطلحات الاعلامية
1067,imprint,معلن,معجم المصطلحات الاعلامية
1068,fl,رائج,معجم المصطلحات الاعلامية
1069,in camera; behind,"م"" (احتماع حلش أبواب مغلقة)",معجم المصطلحات الاعلامية
1070,in course of issue pa,(على,معجم المصطلحات الاعلامية
1071,in focus,وجلي لأنه العدسة وتحت الأضواء واضح في بورة الساطعة),معجم المصطلحات الاعلامية
1072,in picture; in vision,الصورة مجال,معجم المصطلحات الاعلامية
1073,in press,قَيْد الطبع,معجم المصطلحات الاعلامية
1074,in print edition,مُتوافرة طبعة السوقء» غير تافدة),معجم المصطلحات الاعلامية
1075,Inaccurate news,خبر كاذب خبر غير دقيق,معجم المصطلحات الاعلامية
1076,incomplete:,ناقص (غير غير ناحز),معجم المصطلحات الاعلامية
1077,in-depth eed,مفصل» د فهرس و,معجم المصطلحات الاعلامية
1078,indirect lighting,إضاءة غير,معجم المصطلحات الاعلامية
1079,Inflight,بالطائوة عرض بالطائر,معجم المصطلحات الاعلامية
1080,inflight movies,أفلام الطائرة (الأفلام المعروضة بالطائرة),معجم المصطلحات الاعلامية
1081,informal interviewing,مقابلة مفتوحة يتم دون التقيد بأسئلة جاهزة أو محاور مسبقة) ش,معجم المصطلحات الاعلامية
1082,informant;,مستطلع,معجم المصطلحات الاعلامية
1083,information,إعلام استعلامات,معجم المصطلحات الاعلامية
1084,information center ule,ركز مركر م,معجم المصطلحات الاعلامية
1085,information flow,تدفق الأخبار ٠.,معجم المصطلحات الاعلامية
1086,information law osu,الإعلام,معجم المصطلحات الاعلامية
1087,information provider,مُخبر إن مختلف الحالات الإعلاميّة),معجم المصطلحات الاعلامية
1088,information retrieval,بحث وثائقي,معجم المصطلحات الاعلامية
1089,informer pe,المختلفة,معجم المصطلحات الاعلامية
1090,informercial,إعلان إخباري,معجم المصطلحات الاعلامية
1091,infotainment,برنامج معلومات وتسلية,معجم المصطلحات الاعلامية
1092,infringement of,انتهاك حق تزوير,معجم المصطلحات الاعلامية
1093,ingenue,مبتدئة,معجم المصطلحات الاعلامية
1094,inlay; keyed insert,دمج (نص في صورة),معجم المصطلحات الاعلامية
1095,input,قابس,معجم المصطلحات الاعلامية
1096,Inquirer,مُحقّق,معجم المصطلحات الاعلامية
1097,inquiry,تحفيق,معجم المصطلحات الاعلامية
1098,insert shot,لقطة 6م,معجم المصطلحات الاعلامية
1099,insert title,فرعي عنوان,معجم المصطلحات الاعلامية
1100,insertion footage,طول اللقطات المقحمة «بالأقدام»,معجم المصطلحات الاعلامية
1101,insertion inserti schedule,جدول الإمراج (حدول إدراج في وسائل الإعلام),معجم المصطلحات الاعلامية
1102,instantaneous,صورة ة فورية فور,معجم المصطلحات الاعلامية
1103,in onal image;,إعلان ال المؤسسة,معجم المصطلحات الاعلامية
1104,instructional,تعليميّة,معجم المصطلحات الاعلامية
1105,instrument,أداة,معجم المصطلحات الاعلامية
1106,intelligence,استخبارات,معجم المصطلحات الاعلامية
1107,intended audience,جمهور,معجم المصطلحات الاعلامية
1108,interactive television,تلفزة تفاعلية,معجم المصطلحات الاعلامية
1109,intercom,خلي,معجم المصطلحات الاعلامية
1110,intercomminication,(اتصال,معجم المصطلحات الاعلامية
1111,intercut thd) Loris,لقطة,معجم المصطلحات الاعلامية
1112,interface,(وحدة ف الحاسوب تصل برنابجين أو حهازين لتبادل بين ا معطيات),معجم المصطلحات الاعلامية
1113,interference,تشويش,معجم المصطلحات الاعلامية
